Name,Price,CheckIn,CheckOut,Rating,NumReviews,Address,Amenities,RoomType,Cancellation,Distance,PropertyType,StarRating,BookingURL,Photos,GuestScoreBreak,Description
citizenM Austin Downtown,$110,2024-07-02,2024-07-03,8.5Scored 8.5 Very Good 392 reviews,N/A,"Downtown Austin, Austin",,N/A,N/A,in city center,N/A,N/A,https://www.booking.com/hotel/us/citizenm-austin-downtown.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF9hdXN0aW5IM1gEaLACiAEBmAExuAEZyAEM2AEB6AEB-AEDiAIBqAIDuALngY60BsACAdICJDQ1YTA1OWE2LTJlYWEtNDM2MS05OWIxLTg1ZTYzNWRjMTgwONgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-07-02&checkout=2024-07-03&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=6fad1ef34bac0319&srepoch=1719894251&all_sr_blocks=992720701_372230565_2_2_0&highlighted_blocks=992720701_372230565_2_2_0&matching_block_id=992720701_372230565_2_2_0&sr_pri_blocks=992720701_372230565_2_2_0__10965&from_sustainable_property_sr=1&from=searchresults,https://cf2.bstatic.com/xdata/images/hotel/square240/523320797.webp?k=65f084d84f65bea3075538152b8cfb6a049da37327d057f8d6fcdaf089f7c48d&o=,N/A,N/A
DoubleTree by Hilton Austin Northwest - Arboretum,$119,2024-07-02,2024-07-03,7.2Scored 7.2 Good 307 reviews,N/A,"Northwest Austin, Austin",,N/A,N/A,7.7 miles from downtown,N/A,N/A,https://www.booking.com/hotel/us/holidya-inn-austin-northwest-palza-arboretum-area.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF9hdXN0aW5IM1gEaLACiAEBmAExuAEZyAEM2AEB6AEB-AEDiAIBqAIDuALngY60BsACAdICJDQ1YTA1OWE2LTJlYWEtNDM2MS05OWIxLTg1ZTYzNWRjMTgwONgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-07-02&checkout=2024-07-03&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=6fad1ef34bac0319&srepoch=1719894251&all_sr_blocks=18249205_274559937_2_2_0&highlighted_blocks=18249205_274559937_2_2_0&matching_block_id=18249205_274559937_2_2_0&sr_pri_blocks=18249205_274559937_2_2_0__11900&nad_id=23afc2d9-3892-432a-9b3f-d9296a3ca71a_44&nad_cpc=1.16&nad_track=eyJyYW5rIjoxLCJrb2RkaVRyYWNraW5nSW5mbyI6IjRCWnNuL0tZeCtEU3NiM2x0VDNLOFpQdjBkZFdsZHFwTmRrRlJTSTVGOTA3ckhmVDZSNENIeFQ3WTNScmRqMUwvbU9WdTN5UVU3aTBkcjdjTWp5dmVtbUxEOEZwaGhvQzJEV2UySlJaOVIvczJEN3Zqb1JKK08wRHY0RVZ4Vzk4cHNtbzJxZnlBVWM5MDNMUzBGMTh0OFpUdllEbjlXckNub0hDRHNqOUYvd2huMS9XQTYxdXErUUZCVkNKOTlYSTRCZFRlc0pUMWozc29kK1NhLzVMd0kvTEtpTUJORzlvZnoway9McDB1TmRhOG1PcURQTFZTTFVJcGwvSjFKd3p1M2M2cDdwdXgvY0l4T3ZlWm5neHcvSUp3akoyZXM5bXo3Umg0ZEV4a3MzUmZUb2VSSjUxSFFEWkhZOUl4OXAzNzRZdDZqbTlTMDdHTFBVbjVLK2NhWEFWcnhQVHZTRTRXRlRQbUFzSytFenBTdkN2dTF1clVRZ2dQWG81VmZCeDdXdFV4UXpEV1o2QnUxV1NOZXB2TCtXQklIYzlsV1BtTWx0RDNjM1UyZkNxZi9aN3JhdW83NEJ2YnJkQXM5dXMwclQ0VEhCb0xKeDBhWGpIejAvZVIrUWJlTUxIY1lUMWxXRGI3MkJOSWczaWpWeEFLVCs5Y2pRZjBWeWk1d1kwMmZldmwrckpOdDlKNEI3b0JxQnhhU0lHN29CQUpUMW45TTlHUEQvc1JDcHQ5Yk81aVN2aUVHek9zTEUzb2ZvdTg3ODVVcllNUm5FeFgrdkE4VWZUcjZiWlFybWFqek9MUUg5M3UrNU1pT2lzV25MVDE0Ym9HNnduL3RxRUhoQytsYzEyNUw1M2VwT0xLQi9qcWowQzBKcktZZEhXbUxBMEkxRWU1WU9jR09LeGErTXFhRUZPVHZoNXJjbmtJa0VDdEx3QUJRbWU4UGNPNnpLd0hZUkVMZ2V5aG13V1BxVFJsMmQ0QktSeUxxc0lUNk82YkdYWXFnNHZUOWl1YmlwajF0SkFTT0Zxc1BhQ3R1RStaSEJtT29LcXlqeE85a3d1UmhZenpIR2pQK0hkODh0ZlF5a0JwRXI4akZSZi9keUZHbm92U0JwUWFwRllxV3NvOXdxdFJ2K1ZjdWp6ZlpnekI5K0cxVmc1R0lObklVc3cxVFBKeWR2SVlLV1h1VDdveUk2aWJGNlRqUnJpUXNOODFyYm9GeFo0dDhra01VUXIxVzZIVGtyY095UTczNjZKTThDeFQ5ZHphSURoQ3hwN21vWGQ0UUFNNE1YWTh4R25zQzlZUUpwYzkyTUxjdWxBNldabTlIRmZKeC9ONEJ4eTFjYUg0WmxqdDBhbSswdDM0RGorenlJa0VFeWszQ09mNlVINHhQUHZ2WHA2eFdKZ2xhUUVYTmJsM1ptSUZYdUpsVWs0TG5mNElaNEp2OHBJM2RGb3JWNHRKdFgvRFhWdmcxOFAydFpjTGd1eERwUWhSd2pLNjJ0S05OVHpaTWpsTHJLSXN0K2V4MjNYWUJMeGoybTltNC9panpQdjUydmZ3QnZ4STREd05zYmczZ2FqaDZUaDVZYXhCQXJNdGpwNTJjbmtuOUcyYTVJNElXWEgzbGtJYkNFZDlYcVljRFk4UU8rMDVuVjVGUmdBTEUwSFlGRlBGckRBUmxSWnR5MlA4M05WKzQ1WDIwNXF1TjJIVERXZ2ZNZWVDMWxickZKazdZUnArQWIxZzZUM1FRaFU0R3BsOHRVdzFMZGNGakRzWHZIcmhpd2ZBTXNHNW1JeEJRd3h3TVhUeUcwVTBqRzV6Q3NESFJFU1lVTlZtVE9VVmZzcGtYdGo3Wi92VFZXZ1o2VDVrQ1pXOU85QUtDUzAzdHVzMnN6VHhBRDJITW0rcWcyMlNjT0VxTHUvNnVuaWJmVTQrMDBBMStkSTVPKy9KQWtsN2UxRDdydGFXYXVoc3h2cVlpbEhKM0pndVNVZEtPcURaUEJvSGlMZk1EdFFWRnl4cUpTd3o3VTJ0SVpzaVArSnZ2SGtqZGhYTDhMM1RMWEw2dkZBNWQyU1FjaUwxVm5iaTQvVmg2Y3FIc3lIcGF5WUJ0TWlLUU4xQkU5SVVrb3ZQcmdsb3pWSjA5ZFFISDBEUUhzWWZMRkd5OG8yc2twOThEUW83RWJETkhTTXFrNUoxd0ZRejNOSWpRSk0yaU5weGNhMWI4VUpTQVNEM0s2SnhXL2lkZ0VnOUdDcEd3M2gvdmpkQkozemNZMW1MRVFvWC9GMitzZlRXOEZaTXJJWWNsR3IwU0VNSmQvcytSNkdaZTllcVlFQ3FvdVJPZFJVS0VzVWtvelY4dHdjVHhSREhESFhLaSs2L0FVeit5enJoeHFjd2ZwWFZDb1c4cGhOc2RLa09zZHB5WHE5aEdJOUFyR0F3UzlobFd2UC9KZkhrK2UzNnJnWHcyNHVjNFZMelFVdDFESFJjMnQ4TFdFakFXVEtGTVFqa0tmaG82cmhhVGRKc0xaZnZUYkd1K2tXelIwRFVFY0VEQUZWSFFBWDhWTm10dE9pNVpkOUF5ZVJOdml1bE1ZN1YvdUVYMWlKS2d6NEtVS1ZxZ1IzVTIzSHJMUTkvQ1E0RitmdzZEaW96Vk5EVE1zMk1nS25rRWVsbXpjcUx6eTQrQTNFS0ZSejZyKzlObzVXZDY4aHpySVhjSUpMVTFCZHRlMm05V0tSWlF0NmVEZ3pSOXQra2E2R0RtMkRYb3pjNWZ5WUtRZFI5TStRcnVWM0x3NVVGUzR4eW9tSWJDSUlwenRoTmI1S01yWThQcHdqM1BwanFJVjQwQlM3cHlkZzlQK0tTMGttd2NqUlYvZ0hSTXUzTEcvM0thTUdXYlJXV1IxSVhqRTdjdTZoZnRlZWI4WmRWUXJYRWREOXNhS3gxY1JaMGhEVWhzQ0JDZGZlMmZqOWRoQzY5YllzMk92T3ppblkzMjZmRjY0WFNaaWxuRFNLU0E2TkhNUldieHBvSzdZSlFLMFY4R0t2QlBiekRiVkNZMXdONHpJL3IvQTRyMTB3aldyQWJTaDhIeCticHNDMTRMVmRObWNrUXY0UVpEVXB6QjNHV0hnd0VCTWdZNURoaWQvUlJtTFRDL0VIN1B0WG83aU9kYWVva25ZVml4Wk5EclBwWjc2NWpRZXdrdmlxbEFLRTNKQXkyYVp3RTFyWGVTdzVjZi9iL3pFZ2FuVm9FRUxGeExETXNYWWtFYUNQVERLNlp4M3Zub2l5clNCTlhvdEdvcFZZczBad0RSSFB2eElpZnNKZUZ1MktXOG9WTklOOEFCRUFpZkNSS2FUVzVlZ04vQ1BGIn0%3D&from_sustainable_property_sr=1&from=searchresults,https://cf2.bstatic.com/xdata/images/hotel/square240/484313975.webp?k=4cf28cda308098a1aca33e43bd139db6ce5507045b9e27db6dadf83335d9b926&o=,N/A,N/A
Orangewood Inn and Suites Midtown,$70,2024-07-02,2024-07-03,7.9Scored 7.9 Good 790 reviews,N/A,Austin,,N/A,N/A,6.9 miles from downtown,N/A,N/A,https://www.booking.com/hotel/us/r-limited-austin-north-austin-texas.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF9hdXN0aW5IM1gEaLACiAEBmAExuAEZyAEM2AEB6AEB-AEDiAIBqAIDuALngY60BsACAdICJDQ1YTA1OWE2LTJlYWEtNDM2MS05OWIxLTg1ZTYzNWRjMTgwONgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-07-02&checkout=2024-07-03&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=6fad1ef34bac0319&srepoch=1719894251&all_sr_blocks=5947109_387067747_4_0_0&highlighted_blocks=5947109_387067747_4_0_0&matching_block_id=5947109_387067747_4_0_0&sr_pri_blocks=5947109_387067747_4_0_0__6970&from_sustainable_property_sr=1&from=searchresults,https://cf2.bstatic.com/xdata/images/hotel/square240/159868442.webp?k=9efdf9b9a34f08c1ccc97dc72b2c21ae9ed05846a54042e09c3b506bc7f661f0&o=,N/A,N/A
"EVEN Hotel Austin Uptown near the Domain, an IHG Hotel",$179,2024-07-02,2024-07-03,10Scored 10 Exceptional 2 reviews,N/A,Austin,,N/A,N/A,11.7 miles from downtown,N/A,N/A,https://www.booking.com/hotel/us/even-hotels-austin-uptown-near-the-domain-an-ihg.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF9hdXN0aW5IM1gEaLACiAEBmAExuAEZyAEM2AEB6AEB-AEDiAIBqAIDuALngY60BsACAdICJDQ1YTA1OWE2LTJlYWEtNDM2MS05OWIxLTg1ZTYzNWRjMTgwONgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-07-02&checkout=2024-07-03&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=6fad1ef34bac0319&srepoch=1719894251&all_sr_blocks=1076068310_380200206_2_34_0&highlighted_blocks=1076068310_380200206_2_34_0&matching_block_id=1076068310_380200206_2_34_0&sr_pri_blocks=1076068310_380200206_2_34_0__17900&nad_id=23afc2d9-3892-432a-9b3f-d9296a3ca71a_1&nad_cpc=2.31&nad_track=eyJyYW5rIjoyLCJrb2RkaVRyYWNraW5nSW5mbyI6IjRCWnNuL0tZeCtEU3NiM2x0VDNLOFpQdjBkZFdsZHFwTmRrRlJTSTVGOTA3ckhmVDZSNENIeFQ3WTNScmRqMUwvbU9WdTN5UVU3aTBkcjdjTWp5dmVtbUxEOEZwaGhvQzJEV2UySlJaOVIvczJEN3Zqb1JKK08wRHY0RVZ4Vzk4cHNtbzJxZnlBVWM5MDNMUzBGMTh0OFpUdllEbjlXckNub0hDRHNqOUYvd2huMS9XQTYxdXErUUZCVkNKOTlYSTRCZFRlc0pUMWozc29kK1NhLzVMd0kvTEtpTUJORzlvZmo4cCtiWnl1TmRhOG1PcURQTFZTTFVJcGwvSjFKd3p1M2M2cDdwdXgvY0l4T3JRWW5rL3l2SUp3akoyZXM5bXo3Umg0ZEV4azgvY2VEWVlSSjk3R1FIWEZJOUl4OXAzNzRZdDZqbTlTMDdHTFBVbjVLK2NhWEFWcnhQVHZTRTRXRlRQbUFzSytFenBTdkN2dTF1clVRZ2dQWG81VmZCeDdXdFV4UXpEV1o2Q3UxT1ROZXB2TCtXQklIYzlsV1BtTWx0RDNjM1UyZkNxZi9aN3JhdW83NEJ2YnJkQXM5dXMwclQ0VEhCb0xKeDBhWGpIejAvZVIrUWJlTUxIY1lUMWxXRGI3MkJOSWczaWpWeEFLVCs5Y2pRZjBWeWk1d1kwMmZldmwrckpOdDlKNEI3b0JxQnhhU0lHN29CQUpUMW45TTlHUEQvc1JDbHQ4N0s1aVN2aUVHek9zTEUzb2ZvdTg3ODVVcllNUm5FeFgrdkE4VUhLb2ViU1Q2cUlnejJFWENsdnMvRlhsLzdqRUhUWTJZenRVUGduOU1tYkh3NmhsZHQzN2F4cmV0ekJMaFR0cGlNWmg5VEthOExKbWEwcklFY2Y3SkdBR0szN1llY25ka0JTQ2F4cnU5dXJiRXNMczYwSEZVTEE0L3dJOWlmL1NvdEZOd0dpMWpNV1llaVpqRGt2VzZRNlk2SUdTNnp4T0dXVi93NTJXcG1qYWl4bTJKSkVDZThuOGZiZTV2NHJlWFo1TW92aGxETkY5MTl2QlFNejBHTzFLZUxONTgxT1ZUbEcrbG4yalVoTnZKK1FHV3NwUUJOZWNwQlo1U1U0NHc2dlY2YlZNZW40YzUwd1NvelMyMEJuVWRsOUpsb2cwei9mM00yWUsrYVpvWDZsalp1dGFsYVl6azJsQVpvOTJMam1GeDkwck1RcUt3TTMzaUdHU0VQeEtpa1gyS2VPTmZPbVZmeHBJOWk2V1ZjdGdvM05xMU5GODlQWHNram5yRE5KUkpaZDZuVWNkZjFROG1VeHB6Y0VKVXlIdWlZSjcrT0g4N0lZcmtMRTYxMWxsQldKbERBa01oYlZwVUdRdjEvUnp2amZoa3NRcEVjMmh0bEpENG1rdzVpT0cyV0xtMHc3WXlTdkw0Wkw1b2xWd2NSOXQwazdKOU95UlNGaG14eENsczhmZWxLL0Z0SjdCRWZMcGo0V2E5UzlKNFdrTWFtSHR0T0N3RzZTTDFtdHlHV3RtOWpuZ1N5K3ZUN0Rqa3J3SUo3cGJjYmt3Uk9rMGFXcXM5VGpBZ21kNTIxb3hOM20yWXZ4ZUlJbk4zTEIzazVQSkhsSTVYU2ZjVFlrVkxMZ3B6VnhBaElRSmtvUVlWZE9BNnJORUFzU3BIakMvMlpONDh0YzJrWXZzdHlOUUhydGVvcldUVnRScGtKay9KTjA5VkMyMi9IaFFnNWY1MmhsOHRFdnd1Y0RhenJ2WXMzMGt4WUNCTWNROEc0N1ExTTVnNVBHekMxRjNtN0V4aWd4SVE0SlcxNVJsU1dDV2ZGdnpuTWd1NHJyRFFTMVB1VGxqRGRTK081QktYVG5pOEc2eVphYWh3SDhFOG1qb1Erd1NjYVJ1YnI4cEs3eVorVSs1azhEMStkTm5lKzVTZ3NsN2U5QStyeFpSNnF0c1JyalpVUmNQUW90NDJJQUxPYVZjK3RwQ2lYZk1qcEJUa1dnNDhQMzNiOGt0WnRzaVArSnZvamtqTFpYTDhMM1ROWFo5b2tHckltZlI5dVd6MHpLME1XU2g3RXFYWXpKcTdlUkVkUWlJeHA5RTBoUlZsQXlNS0p1OWowS2hjSlVYQ3dMQXowUWY3dEN5c0YxNVExOTVqUitwUmZESjJLS3IwSlV5a29GK2d4ZTlDb1RuU1J6eEpibUtjVWZTRlBjbTZtWjFXL3paaDB4NkN6d1FIcUltSStpWXN1K0laNWlLa29qVExvaTVzZUlSSlpVSXJSV1BCQ2x5WEJJWXQvdnd4U0RHTHdTdVlzU3JKYVRPdFJVTFVRSWdzMlJ0ZHdmZFI1R0hEellEQlMwNHdVcitCYjN3RVhWdDdVUWN6c1MrTjRBNnBQZ2ZjZHE4M2Fqcnk5eVZLR0swU2w4bDJqUC9KUElqL2IycnZNWXozVW5lZFVVa3dzMWdIaUZmbTF2RzIwMWZER2JjcHR5djdiOXVQeWlPM0VBNUx0WnJnRFJwOFlIbGxkRU5oaFZJeEJKQmxaVW94WTQrOEdncU5ndmJ6K2ZXcmJ0eFlodUZmV2NIQnZFTlJDMWZnQ2Jza1l5Qlh1TTR2Tm9zWEZoQXYreDRUNnB3UlJPUkloM2NVM3h6Z1NuakRvRFBUbUo2d3ZkYmdFMDVLZjRhY2xSVzZZODhyOE1lb3hSR0FVUjRxU20vVDJSYTBzM2Z5YzlSY2wyaTY2TkRtbkRDTnZTL2EzQmVSWkI2TjZNcWVJc2ZGdGFEWEo0akkyTWVDY0l1VDVrZWUwZVBLNWhkOW9uMk8xK3U1ZDR4eEsycXlRN3A2dUVVeHBybDg3WFRPOEpUc3I4YzNLZ2Y2RmZGNmdJRWc1ZmFEUXlRdWUvTTRMY1k4bEJXVStKV3NQcWg2ZTQ1YzFINGd2ZnFkSGFRNUNmajdQN2RBMkErTGNCeWZ2UzN6WHAwWDZ1SmFVUWN0amcyblBlR2c2SEJjUktaUnBaSWJkMEUvZ0c1bkg4UWJET0VLaHRjbm9VNGs5cyt2NGc4UWQza0c3TWV6OUtHQXFuNTRybTdxMENiQ0E1UnZJR2N3TXUyUytIRWlVK0NFeCtLSmo2anRuVWQyRFBON0JOdi9WUC9PYkZmYnl2bEhNa2lRcC9UL20wYWFibzBsYTBsZmp0MmgvVGlwSnJsNmcxVlZ6YmJ4YzFaNEtJdVNJcWYzSmdGRTdQMUw3QzUyTWFQYWVKWHllclpRTzBocEQ5ckdFRFVvbEpxWkpUc2c4dUhSUEN0aE5ySTkxWUVmZlRSTTBDYTdxVXZqUHZWYyttQW1XdVp6ODR3cU09In0%3D&from_sustainable_property_sr=1&from=searchresults,https://cf2.bstatic.com/xdata/images/hotel/square240/555884645.webp?k=5bb3f6db7176582293c01f06a8af0022b6f8f87b46dabadd3e4575e792acce23&o=,N/A,N/A
La Quinta by Wyndham Austin at The Domain,$80,2024-07-02,2024-07-03,"7.6Scored 7.6 Good 1,197 reviews",N/A,Austin,,N/A,N/A,9.8 miles from downtown,N/A,N/A,https://www.booking.com/hotel/us/la-quinta-inn-and-suites-austin-mopac-north.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF9hdXN0aW5IM1gEaLACiAEBmAExuAEZyAEM2AEB6AEB-AEDiAIBqAIDuALngY60BsACAdICJDQ1YTA1OWE2LTJlYWEtNDM2MS05OWIxLTg1ZTYzNWRjMTgwONgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-07-02&checkout=2024-07-03&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=6fad1ef34bac0319&srepoch=1719894251&all_sr_blocks=44110001_243821212_4_1_0&highlighted_blocks=44110001_243821212_4_1_0&matching_block_id=44110001_243821212_4_1_0&sr_pri_blocks=44110001_243821212_4_1_0__8010&from=searchresults,https://cf2.bstatic.com/xdata/images/hotel/square240/194573807.webp?k=de012353805e44debe06540c62a40fd7c86c305c496534d46bc606b31b48f134&o=,N/A,N/A
Quality Suites,$79,2024-07-02,2024-07-03,7.7Scored 7.7 Good 606 reviews,N/A,Austin,,N/A,N/A,3.8 miles from downtown,N/A,N/A,https://www.booking.com/hotel/us/hotel-st-elmo-rd-austin.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF9hdXN0aW5IM1gEaLACiAEBmAExuAEZyAEM2AEB6AEB-AEDiAIBqAIDuALngY60BsACAdICJDQ1YTA1OWE2LTJlYWEtNDM2MS05OWIxLTg1ZTYzNWRjMTgwONgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-07-02&checkout=2024-07-03&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=6fad1ef34bac0319&srepoch=1719894251&all_sr_blocks=49185301_116024727_2_1_0&highlighted_blocks=49185301_116024727_2_1_0&matching_block_id=49185301_116024727_2_1_0&sr_pri_blocks=49185301_116024727_2_1_0__7900&from_sustainable_property_sr=1&from=searchresults,https://cf2.bstatic.com/xdata/images/hotel/square240/171756212.webp?k=cdf6d65028285c14ba1150203efdac8e7e866a752abac2582928bff95ef218ee&o=,N/A,N/A
Wyndham Garden Hotel Austin,$89,2024-07-02,2024-07-03,7.5Scored 7.5 Good 966 reviews,N/A,Austin,,N/A,N/A,3 miles from downtown,N/A,N/A,https://www.booking.com/hotel/us/wyndham-garden.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF9hdXN0aW5IM1gEaLACiAEBmAExuAEZyAEM2AEB6AEB-AEDiAIBqAIDuALngY60BsACAdICJDQ1YTA1OWE2LTJlYWEtNDM2MS05OWIxLTg1ZTYzNWRjMTgwONgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-07-02&checkout=2024-07-03&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=6fad1ef34bac0319&srepoch=1719894251&all_sr_blocks=4933907_246075533_2_0_0&highlighted_blocks=4933907_246075533_2_0_0&matching_block_id=4933907_246075533_2_0_0&sr_pri_blocks=4933907_246075533_2_0_0__8910&from=searchresults,https://cf2.bstatic.com/xdata/images/hotel/square240/189494111.webp?k=569b201a847f0f3db82f3a763d8e04973e058e2a5b75994bdce2f1f016c81be9&o=,N/A,N/A
Fairmont Austin,$161,2024-07-02,2024-07-03,"8.8Scored 8.8 Excellent 1,394 reviews",N/A,"Downtown Austin, Austin",,N/A,N/A,in city center,N/A,N/A,https://www.booking.com/hotel/us/fairmont-austin.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF9hdXN0aW5IM1gEaLACiAEBmAExuAEZyAEM2AEB6AEB-AEDiAIBqAIDuALngY60BsACAdICJDQ1YTA1OWE2LTJlYWEtNDM2MS05OWIxLTg1ZTYzNWRjMTgwONgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-07-02&checkout=2024-07-03&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=6fad1ef34bac0319&srepoch=1719894251&all_sr_blocks=224220932_388370975_2_2_0&highlighted_blocks=224220932_388370975_2_2_0&matching_block_id=224220932_388370975_2_2_0&sr_pri_blocks=224220932_388370975_2_2_0__16100&from_sustainable_property_sr=1&from=searchresults,https://cf2.bstatic.com/xdata/images/hotel/square240/514407389.webp?k=e5f1fad5629ad37365382737e516be8e3dce8a16613f5a3c93ed78c0e7ad85d4&o=,N/A,N/A
Hyatt House Austin/Downtown,$121,2024-07-02,2024-07-03,"8.1Scored 8.1 Very Good 3,123 reviews",N/A,"Downtown Austin, Austin",,N/A,N/A,in city center,N/A,N/A,https://www.booking.com/hotel/us/hyatt-house-austin-downtown.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF9hdXN0aW5IM1gEaLACiAEBmAExuAEZyAEM2AEB6AEB-AEDiAIBqAIDuALngY60BsACAdICJDQ1YTA1OWE2LTJlYWEtNDM2MS05OWIxLTg1ZTYzNWRjMTgwONgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-07-02&checkout=2024-07-03&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=6fad1ef34bac0319&srepoch=1719894251&all_sr_blocks=209824001_287746956_2_1_0&highlighted_blocks=209824001_287746956_2_1_0&matching_block_id=209824001_287746956_2_1_0&sr_pri_blocks=209824001_287746956_2_1_0__12069&from_sustainable_property_sr=1&from=searchresults,https://cf2.bstatic.com/xdata/images/hotel/square240/535390678.webp?k=f1368db5e8218a2da40957c4e1563576a6adeaf8b86f4ab0cb2e41112e17d02f&o=,N/A,N/A
Ramada by Wyndham Austin South,$89,2024-07-02,2024-07-03,7.6Scored 7.6 Good 771 reviews,N/A,Austin,,N/A,N/A,3.9 miles from downtown,N/A,N/A,https://www.booking.com/hotel/us/ramada-austin-south.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF9hdXN0aW5IM1gEaLACiAEBmAExuAEZyAEM2AEB6AEB-AEDiAIBqAIDuALngY60BsACAdICJDQ1YTA1OWE2LTJlYWEtNDM2MS05OWIxLTg1ZTYzNWRjMTgwONgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-07-02&checkout=2024-07-03&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=6fad1ef34bac0319&srepoch=1719894251&all_sr_blocks=7591018_285546693_4_42_0&highlighted_blocks=7591018_285546693_4_42_0&matching_block_id=7591018_285546693_4_42_0&sr_pri_blocks=7591018_285546693_4_42_0__8910&from=searchresults,https://cf2.bstatic.com/xdata/images/hotel/square240/135119719.webp?k=bf46db2ea94f13f25726f86b05dc807ee2cb0b0c12b8fd0b90f703856a8c813b&o=,N/A,N/A
