Name,Price,CheckIn,CheckOut,Rating,NumReviews,Address,Amenities,RoomType,Cancellation,Distance,PropertyType,StarRating,BookingURL,Photos,GuestScoreBreak,Description
"Holiday Inn Corpus Christi Arpt & Conf Ctr, an IHG Hotel",$114,2024-07-02,2024-07-03,6.3Scored 6.3 Review score 227 reviews,N/A,Corpus Christi,,N/A,N/A,4.3 miles from downtown,N/A,N/A,https://www.booking.com/hotel/us/holiday-inn-corpus-christi-airport-convention-center.html?aid=304142&label=gen173nr-1FCAQoggJCFXNlYXJjaF9jb3JwdXMgY2hyaXN0aUgzWARosAKIAQGYATG4ARnIAQzYAQHoAQH4AQOIAgGoAgO4As2IjrQGwAIB0gIkMGY1NzcxZTktZmIyNS00MmI4LWFjNGMtNjg2NzIwN2FlYjU12AIF4AIB&ucfs=1&arphpl=1&checkin=2024-07-02&checkout=2024-07-03&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=a53d20a68023000d&srepoch=1719895121&all_sr_blocks=18314217_246033140_2_32_0&highlighted_blocks=18314217_246033140_2_32_0&matching_block_id=18314217_246033140_2_32_0&sr_pri_blocks=18314217_246033140_2_32_0__11400&nad_id=4b0ce0e1-e165-423d-bffa-20603cb9dc61_0&nad_cpc=1.26&nad_track=eyJyYW5rIjoxLCJrb2RkaVRyYWNraW5nSW5mbyI6Im5VS1RBNlA1ZXZBLzdCUkt3R0NBN3dTb2lyajExWG5yRmdvTGxodHpFZFNuNys5bUYwM0NKWk5CK2lLUFN2T0tLUFFGbzRxK1ViQ3dZMTl3YVJURmIxQkQzKzA3WG52Y09JV1RreUZDRmcxT2IwUlh3b1JQZzdqNVV5NVkwSWxrRStPTUZnS1dKeXRGOVlMaVE2bmlGZUl5SGNCWFduMTBNN0psN1N1TnZsQjZLNnJEN2dneFhpc0JqT0p6aHMwRTJiQWc2MmlJb3MxQVIrLzVwbWRQSTQxeHpNQVN4Wm40bGErSDJRZ2xmSmdHbHQzYW56aFQvUHBkdUxRandrcTlTVWprajc3ajIzdThVWC9oWjFuMUNlQ0IwQkZTckVKcTdQSmVFa1RpVUNLdzhrTHZGSG9VOE1XajlPL3VFZW5xSXhIUUdmd3JvMUZMVFBHcWN5bzFlVHFUcTN6VUVHN2MySm8wcEJMYzhRQ3M4UWt5K3VlRTYxTDdQaUdsU0gwbzBEYUJtdm9qWGZTSTNvVU9ObzVyR1BQeEk4Zkd2YzdzWVRES2dEU2FBR2VFMXhDTisxa1ozMnpTT284OFFsTEdqb2IvdXhKbFZOcCtJRkNoNk96N1ZIV0RJbGxKeHZXYzhockowYXFuYVFvbHgyazJxY2RDNGtvTVJ5YlJpQzVNa05OSk14Tm5ueHErdFBBakZNWDYwMzdOem1rZDhMSEFRZlVCYkFhd3RYSFFZVWRFUVBkN2dMR3I5YmhNVGFQS2pTdWZoL2htUTdUN0dya1VFcUdPZDJYZE5sdG56U2hFWjVqb3d3WGI5VjBaeVdGRVkyeUdRdGZpS3ViakVMRXkxaGZDYk11c2l2dy9oT3lpci9pczd5cHcxTkZEY3M4VS9nc0xQMGNHcmlDMlJYSEZpQUFsb2NURTF1NWRudXVyWEFCV3pKV1VZT3drdjg5VkgyS09SS0tGL081S0lETnM4WVdPWWRYTkZYUktRK1FqRUF0N001QnJkdkdPb1BsOXUwUzd0K0RGWE9zOUpHaTViSXVFYWdmMGdHNStpVjRHakhCYjAxL1pwdmpVNUZBWE1VUmRoL1FZeFBiQ3V5MEZIN0x0bEw4V2FlRDlJSE1lVkE4b042aTBjSkVSbkh3Q2RIcDBqMHRLTDVpZW5sZTFDOWhiSXZnTmphVXBiOW9XRElHcGdvREZjTC9uN21MTkxLVUt1WnhvZUdaT2tmMzA3YWRLMm95aDNsNTY3RTdacDdLQWoxcVFzV0VkdnozV21JSTFBb04xbUxnRDRGNkYzK2FXTEpSaG11VXp5RXo0bm13YXFYYnV1L2l2WnRydzdUUWlka2dmMjE1NDB5dmZXWEtoRGM3U1lGV1BmUDQrTVp6TkhyM0JRY1ZRNVpnUXp1MlBLM2tVWDRxaHd0RG01dHBYVUlZMGF5bnhadHVIRGt6MkZ3dXRuYmVWZWF3N0Q2eGhnbTNEYlJ2RS83bzV6aFJ3WFpFeEZOL2hVem5oakFsdU95dmdBcFBPcmxuRW5ZSW5wZTVlRUVLVDUwRnpYaUVIRi8yU09DVm1GRFBmOWpqak5PdlpRYU55RGJJVmVYNm5Jc3VOVG1jd1dVS1RubXFvSjdwMlg5Snd0Q1JEbldIc0xJR010YXl6UCtTL3krOWtIcnlEaERUSlJ2eHgwVFU3a2MxeXJYemllL1ZMaWJBdVNrWXZySkJ1YUtnTXpMclgwT1dVWTJnZWZqdDdLLzV4VHhzV3JVWkpWQ21QU1FRRDA2QVJxaEdsczdKNnZqeW45OHZ2Y1dUcHVpMWRhYzFjUWIwVjkrUW9FMTV6eDY2OGRNdnBHSU13UHBkVXNTVjkzZmhqbGdFYWpnOXlaYzZ3VHJudEdBY085Z3FQZ3pmREkvSGYzbFowR2hYaVVYTGdWeFNNcERMNFdRZU9odzk5UWtvK3ZYQlZKaktVaEYzVkxHSm0reXVMN3VTb1RJQkh2b2JaU0EyWUUzdysxaXQ3akJwTm5RRTF4RENhUG5QUGs5czloMzB6ajZMMDJEc1RxaTF6NmxOam9CTkd3YnJRbnRPZC9iYVlnZE82UlF3OU45bjVxdWpTSE1sZll2L3RIUzB4djhTSitvM3BrWjhMTlBtM1pNRnBHRWc0di9mdGFpb3JSRHZ5V2tzYjIxeU5pYjVONGFYdHRHeVZWUUVqSVc3V0d4Q3JEVFF0bUs0YjB0emhLOVBlT1lzbWJFWFVuMS9QcWZCUlVBSVdOY0lTc2lvSXJLQmlvWkhSQnhBemdQalVBRmxwdm5JYTRLMWp3L25WRERxTG8ySUZhL2RBRDhSczFvb1pTZ0tSZzEyNDNYYnRhTzBrQkhxQlpLS1NxWmpsZFZnTS8xRTcwZ2J2NGc5bi9NVUhKZFBZNnZMY0xjQmtMUjhZS1c3U1YraUt3S0xuNXFhN0RmU3ZYL2todHJVdnFraEh6dmxFVFpxNENuS3JmcDZlNHVlTFhjRVNkd0U4N2QwWFRPRTdaZVFJZ0MyREx0TFd6amIzMFV5K2tpTE13d2FYMlVyd01oeVpxM2NUeWYrbzZ6RngyeTd6a0tEalRaV3A0VnFvR1FyNkRwSHJLZkpsWnBreVcxUTZHNy9OSVJ3cmN5anc3VmNWTzlLd2hXTnpuMWlYbzU5Zm5vYkhOUU05U0c2RjNsdllHMCtpNldtdW1LaERqNEU0S3FGM3JkS1pveThBSHh6NjhmSU00VkRuZXA1UEVGNDhoSGpldGhRZnpqZm5WWjA1ODRCRkppakhNeUtadGtNeXB0azRYSVRmSW8xSmtpenNWNDhRUnBJYTFxd2N5cTM3MkxscXFYaUZCMXJBWlFqMXNzTXJPSU9iRmFya2M0QzJSNGJ6WGx5dXBVM2JpOW9haWdJNSs0Z0F3S3ZkVGx5OXBrRG8xS3g0MFo2R2F5c2pyekFIUlJFOU9zN2NLUms0NUwyRVVUSm16SlFzUEZhT0dJRUVuSVVsUC9DY0RWWUtaMWZ0ZmV4NWV3WC9Ec3V3bEJydkpsUmhtdmc0d3lRMjJTM0NVeEZTK0VYVHY1TzJFREpGYXplM2FOWVZJMkpGSHdWOUNYcWR5aWlwRUFLWXVwSUZhVk9TOG1yN29TMW1NYzJMbWNhMG94b2w1cEJ5SGF3dm9pZGJYY0dWVk44VnV5UDFkZXZoSjlKSEttVmxiOGVZbnU5Zkc4Yk82K2l4QnFmWHZ6WnlZMCtWZFN1aDdXc3Z0QXRxbXBZdVplOUVKQldnSzVtVE44OERuVVU3K3g0K2VKUXREbTUxSGpRRUtIZ1VmSGVRdFdJWHRJVT0ifQ%3D%3D&from=searchresults,https://cf.bstatic.com/xdata/images/hotel/square240/538575376.webp?k=85afbae6d92f69f357f4ecf933b2434e24ffea8fb3d31b4af55eee023d402d92&o=,N/A,N/A
Hyatt Place Corpus Christi,$121,2024-07-02,2024-07-03,8.0Scored 8.0 Very Good 631 reviews,N/A,Corpus Christi,,N/A,N/A,7.7 miles from downtown,N/A,N/A,https://www.booking.com/hotel/us/hyatt-place-corpus-christi.html?aid=304142&label=gen173nr-1FCAQoggJCFXNlYXJjaF9jb3JwdXMgY2hyaXN0aUgzWARosAKIAQGYATG4ARnIAQzYAQHoAQH4AQOIAgGoAgO4As2IjrQGwAIB0gIkMGY1NzcxZTktZmIyNS00MmI4LWFjNGMtNjg2NzIwN2FlYjU12AIF4AIB&ucfs=1&arphpl=1&checkin=2024-07-02&checkout=2024-07-03&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=a53d20a68023000d&srepoch=1719895121&all_sr_blocks=73386006_327151765_2_0_0&highlighted_blocks=73386006_327151765_2_0_0&matching_block_id=73386006_327151765_2_0_0&sr_pri_blocks=73386006_327151765_2_0_0__12060&from_sustainable_property_sr=1&from=searchresults,https://cf.bstatic.com/xdata/images/hotel/square240/535071229.webp?k=71eaa8f4cc61e495f3447751a734496c9ace69e040f58ac123b925d13b75ad67&o=,N/A,N/A
"Holiday Inn Corpus Christi Downtown Marina, an IHG Hotel",$134,2024-07-02,2024-07-03,7.4Scored 7.4 Good 884 reviews,N/A,Corpus Christi,,N/A,N/A,0.3 miles from downtown,N/A,N/A,https://www.booking.com/hotel/us/corpus-christi-downtown-marina.html?aid=304142&label=gen173nr-1FCAQoggJCFXNlYXJjaF9jb3JwdXMgY2hyaXN0aUgzWARosAKIAQGYATG4ARnIAQzYAQHoAQH4AQOIAgGoAgO4As2IjrQGwAIB0gIkMGY1NzcxZTktZmIyNS00MmI4LWFjNGMtNjg2NzIwN2FlYjU12AIF4AIB&ucfs=1&arphpl=1&checkin=2024-07-02&checkout=2024-07-03&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=a53d20a68023000d&srepoch=1719895121&all_sr_blocks=47026207_246082879_4_2_0&highlighted_blocks=47026207_246082879_4_2_0&matching_block_id=47026207_246082879_4_2_0&sr_pri_blocks=47026207_246082879_4_2_0__13400&from=searchresults,https://cf.bstatic.com/xdata/images/hotel/square240/244484591.webp?k=7fa52a25f8c28fbc9dd447a82792cad9b3ca70a8b567fca41afef544527b1c0c&o=,N/A,N/A
Omni Corpus Christi Hotel,$179,2024-07-02,2024-07-03,"8.1Scored 8.1 Very Good 1,113 reviews",N/A,Corpus Christi,,N/A,N/A,0.3 miles from downtown,N/A,N/A,https://www.booking.com/hotel/us/corpus-christi.html?aid=304142&label=gen173nr-1FCAQoggJCFXNlYXJjaF9jb3JwdXMgY2hyaXN0aUgzWARosAKIAQGYATG4ARnIAQzYAQHoAQH4AQOIAgGoAgO4As2IjrQGwAIB0gIkMGY1NzcxZTktZmIyNS00MmI4LWFjNGMtNjg2NzIwN2FlYjU12AIF4AIB&ucfs=1&arphpl=1&checkin=2024-07-02&checkout=2024-07-03&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=a53d20a68023000d&srepoch=1719895121&all_sr_blocks=52286904_381095779_2_42_0&highlighted_blocks=52286904_381095779_2_42_0&matching_block_id=52286904_381095779_2_42_0&sr_pri_blocks=52286904_381095779_2_42_0__17900&from_sustainable_property_sr=1&from=searchresults,https://cf.bstatic.com/xdata/images/hotel/square240/374714643.webp?k=0320fcb6c2601bd9ffc82a62edbe690f4352264402cf4d7d8a711f3a7e1b4b25&o=,N/A,N/A
Emerald Beach Hotel Corpus Christi,$114,2024-07-02,2024-07-03,"6.3Scored 6.3 Review score 4,157 reviews",N/A,Corpus Christi,,N/A,N/A,1.3 miles from downtown,N/A,N/A,https://www.booking.com/hotel/us/emerald-beach-hotel.html?aid=304142&label=gen173nr-1FCAQoggJCFXNlYXJjaF9jb3JwdXMgY2hyaXN0aUgzWARosAKIAQGYATG4ARnIAQzYAQHoAQH4AQOIAgGoAgO4As2IjrQGwAIB0gIkMGY1NzcxZTktZmIyNS00MmI4LWFjNGMtNjg2NzIwN2FlYjU12AIF4AIB&ucfs=1&arphpl=1&checkin=2024-07-02&checkout=2024-07-03&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=a53d20a68023000d&srepoch=1719895121&all_sr_blocks=18313231_88778946_4_0_0&highlighted_blocks=18313231_88778946_4_0_0&matching_block_id=18313231_88778946_4_0_0&sr_pri_blocks=18313231_88778946_4_0_0__11397&from=searchresults,https://cf.bstatic.com/xdata/images/hotel/square240/349558291.webp?k=39f95cc36af966a6b7c15dd9e33ee69d63c32aca8da5d03b24a5e22ba0a18240&o=,N/A,N/A
"Motel 6-Corpus Christi, TX",$47,2024-07-02,2024-07-03,6.2Scored 6.2 Review score 667 reviews,N/A,Corpus Christi,,N/A,N/A,5.5 miles from downtown,N/A,N/A,https://www.booking.com/hotel/us/howard-johnson-corpus-christi.html?aid=304142&label=gen173nr-1FCAQoggJCFXNlYXJjaF9jb3JwdXMgY2hyaXN0aUgzWARosAKIAQGYATG4ARnIAQzYAQHoAQH4AQOIAgGoAgO4As2IjrQGwAIB0gIkMGY1NzcxZTktZmIyNS00MmI4LWFjNGMtNjg2NzIwN2FlYjU12AIF4AIB&ucfs=1&arphpl=1&checkin=2024-07-02&checkout=2024-07-03&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=a53d20a68023000d&srepoch=1719895121&all_sr_blocks=36386613_244942326_2_0_0&highlighted_blocks=36386613_244942326_2_0_0&matching_block_id=36386613_244942326_2_0_0&sr_pri_blocks=36386613_244942326_2_0_0__4679&from=searchresults,https://cf.bstatic.com/xdata/images/hotel/square240/263861677.webp?k=7d88a56fb8ddfdfb1666b95f35d8e79c184c670f18c6718b20273c404d6055a5&o=,N/A,N/A
"Motel 6-Corpus Christi, TX - Northwest",$49,2024-07-02,2024-07-03,7.1Scored 7.1 Good 988 reviews,N/A,Corpus Christi,,N/A,N/A,4.6 miles from downtown,N/A,N/A,https://www.booking.com/hotel/us/corpus-christi-845-lantana-street.html?aid=304142&label=gen173nr-1FCAQoggJCFXNlYXJjaF9jb3JwdXMgY2hyaXN0aUgzWARosAKIAQGYATG4ARnIAQzYAQHoAQH4AQOIAgGoAgO4As2IjrQGwAIB0gIkMGY1NzcxZTktZmIyNS00MmI4LWFjNGMtNjg2NzIwN2FlYjU12AIF4AIB&ucfs=1&arphpl=1&checkin=2024-07-02&checkout=2024-07-03&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=a53d20a68023000d&srepoch=1719895121&all_sr_blocks=36910511_395238513_2_0_0&highlighted_blocks=36910511_395238513_2_0_0&matching_block_id=36910511_395238513_2_0_0&sr_pri_blocks=36910511_395238513_2_0_0__4949&from=searchresults,https://cf.bstatic.com/xdata/images/hotel/square240/215003778.webp?k=34c26beee56a95237e8d51e1c31b4573c14249347fae12d36dbf1f44c64590f8&o=,N/A,N/A
Wingate by Wyndham Corpus Christi,$104,2024-07-02,2024-07-03,7.7Scored 7.7 Good 907 reviews,N/A,Corpus Christi,,N/A,N/A,8 miles from downtown,N/A,N/A,https://www.booking.com/hotel/us/wingate-by-wyndham-corpus-christi.html?aid=304142&label=gen173nr-1FCAQoggJCFXNlYXJjaF9jb3JwdXMgY2hyaXN0aUgzWARosAKIAQGYATG4ARnIAQzYAQHoAQH4AQOIAgGoAgO4As2IjrQGwAIB0gIkMGY1NzcxZTktZmIyNS00MmI4LWFjNGMtNjg2NzIwN2FlYjU12AIF4AIB&ucfs=1&arphpl=1&checkin=2024-07-02&checkout=2024-07-03&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=a53d20a68023000d&srepoch=1719895121&all_sr_blocks=310230801_0_2_0_0&highlighted_blocks=310230801_0_2_0_0&matching_block_id=310230801_0_2_0_0&sr_pri_blocks=310230801_0_2_0_0__10350&from_sustainable_property_sr=1&from=searchresults,https://cf.bstatic.com/xdata/images/hotel/square240/169876340.webp?k=0e7b6a8d02b894b4b71d796df0808cf0a2d623e6c5de8fd1efb5e384b758503c&o=,N/A,N/A
Hawthorn Extended Stay by Wyndham Corpus Christi,$109,2024-07-02,2024-07-03,8.0Scored 8.0 Very Good 754 reviews,N/A,Corpus Christi,,N/A,N/A,4.8 miles from downtown,N/A,N/A,https://www.booking.com/hotel/us/corpus-christi-1442-south-padre-island-drive-texas.html?aid=304142&label=gen173nr-1FCAQoggJCFXNlYXJjaF9jb3JwdXMgY2hyaXN0aUgzWARosAKIAQGYATG4ARnIAQzYAQHoAQH4AQOIAgGoAgO4As2IjrQGwAIB0gIkMGY1NzcxZTktZmIyNS00MmI4LWFjNGMtNjg2NzIwN2FlYjU12AIF4AIB&ucfs=1&arphpl=1&checkin=2024-07-02&checkout=2024-07-03&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=a53d20a68023000d&srepoch=1719895121&all_sr_blocks=32942316_243820404_2_1_0&highlighted_blocks=32942316_243820404_2_1_0&matching_block_id=32942316_243820404_2_1_0&sr_pri_blocks=32942316_243820404_2_1_0__10899&from=searchresults,https://cf.bstatic.com/xdata/images/hotel/square240/140327813.webp?k=3396bb9364d2c9395b5bda73de3c63dc2c2943f97f3947ea7dc5652e961d7b0b&o=,N/A,N/A
Comfort Suites Central,$102,2024-07-02,2024-07-03,7.5Scored 7.5 Good 738 reviews,N/A,Corpus Christi,,N/A,N/A,4.9 miles from downtown,N/A,N/A,https://www.booking.com/hotel/us/hotel-s-padre-island-drive-corpus-christi.html?aid=304142&label=gen173nr-1FCAQoggJCFXNlYXJjaF9jb3JwdXMgY2hyaXN0aUgzWARosAKIAQGYATG4ARnIAQzYAQHoAQH4AQOIAgGoAgO4As2IjrQGwAIB0gIkMGY1NzcxZTktZmIyNS00MmI4LWFjNGMtNjg2NzIwN2FlYjU12AIF4AIB&ucfs=1&arphpl=1&checkin=2024-07-02&checkout=2024-07-03&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=a53d20a68023000d&srepoch=1719895121&all_sr_blocks=49191502_332272771_2_1_0&highlighted_blocks=49191502_332272771_2_1_0&matching_block_id=49191502_332272771_2_1_0&sr_pri_blocks=49191502_332272771_2_1_0__10200&from=searchresults,https://cf.bstatic.com/xdata/images/hotel/square240/548067970.webp?k=b1bd0c78dd082786bd69073dc5d160fb5bd9b11b59d95a50072775a74b4c2fd7&o=,N/A,N/A
