Name,Price,CheckIn,CheckOut,Rating,NumReviews,Address,Amenities,RoomType,Cancellation,Distance,PropertyType,StarRating,BookingURL,Photos,GuestScoreBreak,Description
"Motel 6-Dallas, TX - Market Center",$57,2024-07-02,2024-07-03,5.9Scored 5.9 Review score 528 reviews,N/A,Dallas,,N/A,N/A,5.6 miles from downtown,N/A,,https://www.booking.com/hotel/us/dallas-market-center-1625-regal-row.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF9kYWxsYXNIM1gEaLACiAEBmAExuAEZyAEM2AEB6AEB-AEDiAIBqAIDuALcgY60BsACAdICJDc0MmYwZjdjLWQxNmUtNDNiZC1hMjQyLTU5YjE0ZTg3ZmU2ONgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-07-02&checkout=2024-07-03&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=b9d01eee598500a4&srepoch=1719894242&all_sr_blocks=37513905_353328797_2_0_0&highlighted_blocks=37513905_353328797_2_0_0&matching_block_id=37513905_353328797_2_0_0&sr_pri_blocks=37513905_353328797_2_0_0__5669&from=searchresults#hotelTmpl,https://cf.bstatic.com/xdata/images/hotel/square240/297740376.webp?k=2cbe4ec81dd62f0dbd8de65b15d1fd28a47aef68ba8e1ba5861fbb9515ee728f&o=,N/A,N/A
Hampton Inn & Suites Dallas Downtown,$122,2024-07-02,2024-07-03,"8.3Scored 8.3 Very Good 1,140 reviews",N/A,"Main Street District, Dallas",,N/A,N/A,0.3 miles from downtown,N/A,,https://www.booking.com/hotel/us/commerce-street-suites-dallas-downtown-tx.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF9kYWxsYXNIM1gEaLACiAEBmAExuAEZyAEM2AEB6AEB-AEDiAIBqAIDuALcgY60BsACAdICJDc0MmYwZjdjLWQxNmUtNDNiZC1hMjQyLTU5YjE0ZTg3ZmU2ONgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-07-02&checkout=2024-07-03&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=b9d01eee598500a4&srepoch=1719894242&all_sr_blocks=150259706_372474126_2_1_0&highlighted_blocks=150259706_372474126_2_1_0&matching_block_id=150259706_372474126_2_1_0&sr_pri_blocks=150259706_372474126_2_1_0__12200&nad_id=f3e3ae64-ef6d-479d-978b-16661f67d1eb_12&nad_cpc=1.14&nad_track=eyJyYW5rIjoxLCJrb2RkaVRyYWNraW5nSW5mbyI6IjIzQUVsUDRIVUZObUx1cTNOc0xZaVhDRDRPM2prN1NTYlNkYzRDa2UwdVZnT1QzMDVES1p1SUdzV2VjZWttM2NScEFmMDVnWEt4TjRxdUpMZFpHZjg0d29JaG9WVWhYMGI0by91TzlEZVZtdUtyUStZMEV3YjliQ3VrZ3VjNXErMm5qWFNLSTJaK0drL2p6aVJHM3Btc0ZockNScGZrTHBCbWZWdmd5TXhvQ2RRclE4Y0E5TmFma3ZGeWR5RllFSVhYOHBQb29kNUVPamdGckRST1JBKzNiemZuQjhoVTJEdysxcUlSOFZFbktmZ2hjWmFPMVV2aFFkQVUrOU5GTWtEcFZSazN1dzJaR3JCaGo2cExueEVDdU9TRVY4ajBPVGhaY1A5Qi8zV1B5b3ExMmwyVUxhS0k2N1l5aUFmRVJDWWZKeWUrMFhPOVB5Z2NkL3lLV2tSeXhBY291aXZiTXo5R1NrK0xSWnFPUUtLZEIzVEtBRGhoN3NtMk9PVXFVK3NoQTgvYVJQMEVnYjA2NktOS1paekloeDk5Yll0b0FkQUFVSXFoSWNkWmpKS1BGaWxCejJSTDNoaWF3UGRRN2p6bWZ0SGVDQWx4QWkyTlVrZEZiUlNTOFo2c2d1OTR0Z3VJSlVMN1NFcUZaOU5OaHB6NDRqWjhBZ2c1MitvM3BIODFCdUhBTGFMTWdrcWw5bXdSYUhXdHZQSzBNb3k0OStTbWcvSTNZbVp5ZmpEMGV2OE5NOG1kOUxPN3k1Yk05YW9KQUF4cFl4S3h4SmpjamlRazBnbXU1UTBIWEFXa2JUWjY1TFlWaGhUSEhkN2lLU2x4dXA3KysyeEExVEtxUTNQTG13M05aYWlZRzRKSW9ZVm1ZcEdXZ0FqbG5XZGltSU5QZ3VDYXZKeWdvUWRlRER3anNWbzdXdnUyTmNQQ2JoZ094YnA1ZTVBRVR0N01sZlgvSlE2ZFQ3UTRUWDd4SEI3S09qbXVTODhZRXRhelQza1hOUjQ3M2o5RkRYcFo4a0JtdkZpdmxUanpCdEVlNGVoeFVab3VOanJ6TkZ1NitBRTMxNmhPME53OWVlRnVTZ2V4Vk1FRmE2UDM5VlhWZC9KdUZHY3JBN3g5bm9KV1BRN3R4TkZLblA0UFN5WVZLRTVWZGxLN3lPZUQ0T2FtNGg2eTllbWJFTUVXRGc4cTZtdmpZWHVKa0hXRjNFME9lSEZWMmhDZHpCaW40RGpWaUZJK0pGa0w4aEFKR0tXMll2MXlGcEdyTndKbm81VzhHTXpVb0tZNEhtR3FJaUw4WjlYa1hCOGE1ZTdrdGZna3FvTndSamJndUN3bXJFMDZrVkNKRGNwQWRoWEdXbHVxQ3hoWGtNaVFEUnEvTm5peVBmU25tbGZLd1hZUU9NdG9QTHo0RE1teGdSWVZWUExhbGc5ZWU2dnNmeGxxUXhUYW9FSDNEMzU4RUVuWXd0NVZDeUJ1MTFlNHRPcnNlOGtHK1pvaHIvcUVteGEvRXVLakg2SzFDV1dFWXFueFgrVmFpTHZSUVFjN25PTTlrTkhVN0xQUXdLdWhWbWhmcnhPZU9QT2g5TWoxeVNUTkNtTzVwb25waUU0SmgvMWNmckdRTmVVR2xGUlQ2c3N6ckM2WFR1clJqZm9JaFlXS1pYRnFqM3MvNnczeTZlY3Z5MldHcGxxZnBUNTJJM2I2Q3Z4REJyNjlZUjdma2wzTFpkcHJQQytBWER3QWVnUzdMblJhUnFRbzRlejhWcnBMQk8rUnhqM0oveXovc1F2ajhtdlpXeHJFN3NRYUZmb3dldXQ4eUp4T3hEbU9HWTdESjhNNzdITFFxTmpMT280bDc3cHplbmdudElPeThlWldndkpEdGc5dWJDY2RrVlpkNThGb2ZhNUw1YzZycDlGYzB2enVCLzZZMmZTang3N3hUNzQvWXpMOGVHem5Va2Z2bVUzZzc2MUdrdy92VlVyWERWNkxueHJtbjhYeGd4ZHVxSmtnaUloY2Y5VDBaVW9WdDFmTFR6TWtoM2IzQTVBdWsxV2padUcxUjI1bk1veWloRFpUaXdzV3poWXJIWC9IR3NsdzhQMW5kZithdTBNa2JuM2RIU3NhMUpaajNmMmFJVzdPUVEyMysvYWJMWklXZ1BrRExONVdDT3ZXNE5YUHVhRWZhdGdSWVQ3R0dEWXBzL3J2N0Q4eFU1V29zY1NsR1UvT1IvWUczSWR0czdtUnN3Y1VveGZwQVdpNXp4R2hnQVNyMDlINjdXaFFvUFJMeFUvekZTaVJIMDl0d0w3UDUrNWRaV1lYQm54enhjUWdaWnBpRnZycTl3ZkNoOGlLUUJFcWN6THFhUkpVWnBHSERYU0lzSWZ4cERlbFdnRDdTekpDOUkySjFjQ1A4eUx4Wnp3WnlIbGNad090WFpKd1lkVlNuUHR6cm1zOXlUUGdMVkxzL3RabWt1RDRuWEgvRmt1ZjRXdXR4S2dLQ2wzcXpWV0JHTVF0SnlqV2I5U1VSTjk4SEpTT0c3MHNSa2VTbCtnczlENFZhSC9ubnl4VU90WnRRam1rVWh4OXBobkhxdmM0OWhnd2Nlb2R0MVN2OTRIWUFMTUZaWFJUd1ZkcmZlVkNEWGVGak5INTc3ZFUxWDVIWi83bEdiYkNoS0d0NC9TVzZqWjhac01ibWZXaEtHQnZYZUExLzdBcFNVbDNOS1IwUUJTYVdQM2ZTOWVGWWxsVTkvQjl3VXNSS2RIVGsvb1RwZnY5K01XYVJScCtIaVFvVFV5dXlnTkg4cENZUVJKY05UbFIrK1pQNU84RnJnYi8vUGtCYTM1R2RPcmR2M0FsU2lnakxWUFpJWjdacFNTZC96K1R5bElhVFB6dHRiWm9DMWZ3KzNYTEdGcmNYK1U5Ylpqc1FVNzdjVzFGOXJwMjNqOHpDeGdzQ0ZLbGs3UzZxRkhjMmp0Z2dWRVBrcXAydFloQVZ3NnZJUEhUTmtUSTRTZ0owNHpwem5OT0hMZFlqTjEvMWlWdEVHanlsRzczNVRuSjdQMWh1L1FyTDJPQmtlNlQyNFNLT0xDbGpTcUJEYUVSd25XL29uQkhtQVpFeU1LeWNVLzJBSmRNQTFzZFFrRExnOHJ5VXRaMFNyWFBxYklHRGVLNGVyczhFTkltRGd3dVMrenhNWmpJbytsZW13UVdnOE9IOEJnQ1IvMzZqbENsOUFZbktScTRFRlI4OUpBOE9DVGM1VG5QSUxSNkRPdWp6b0tCYmlVZUxrNXNvR1VSVmprREpHZ09neHR1T3RjazdWNGtBMFlHVFg3enhscFpwNSJ9&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,https://cf.bstatic.com/xdata/images/hotel/square240/484318912.webp?k=a07504cb9e554af9ad52ceb00212c1809ed8de7efab4aaa347ac927b94763acc&o=,N/A,N/A
"Studio 6-Dallas, TX",$58,2024-07-02,2024-07-03,8.4Scored 8.4 Very Good 853 reviews,N/A,Dallas,,N/A,N/A,7.8 miles from downtown,N/A,,https://www.booking.com/hotel/us/orange-extended-stay.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF9kYWxsYXNIM1gEaLACiAEBmAExuAEZyAEM2AEB6AEB-AEDiAIBqAIDuALcgY60BsACAdICJDc0MmYwZjdjLWQxNmUtNDNiZC1hMjQyLTU5YjE0ZTg3ZmU2ONgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-07-02&checkout=2024-07-03&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=b9d01eee598500a4&srepoch=1719894242&all_sr_blocks=52046209_353342634_2_0_0&highlighted_blocks=52046209_353342634_2_0_0&matching_block_id=52046209_353342634_2_0_0&sr_pri_blocks=52046209_353342634_2_0_0__5759&from=searchresults#hotelTmpl,https://cf.bstatic.com/xdata/images/hotel/square240/130627526.webp?k=a4c1d46098258e8bc1a79c776be6808d4715b53bcf30c6f2ab31fd18fcb7d71f&o=,N/A,N/A
Baymont by Wyndham Dallas/ Love Field,$76,2024-07-02,2024-07-03,"7.3Scored 7.3 Good 1,225 reviews",N/A,Dallas,,N/A,N/A,7.2 miles from downtown,N/A,,https://www.booking.com/hotel/us/baymont-inn-suites-dallas.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF9kYWxsYXNIM1gEaLACiAEBmAExuAEZyAEM2AEB6AEB-AEDiAIBqAIDuALcgY60BsACAdICJDc0MmYwZjdjLWQxNmUtNDNiZC1hMjQyLTU5YjE0ZTg3ZmU2ONgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-07-02&checkout=2024-07-03&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=b9d01eee598500a4&srepoch=1719894242&all_sr_blocks=25016021_246079974_2_1_0&highlighted_blocks=25016021_246079974_2_1_0&matching_block_id=25016021_246079974_2_1_0&sr_pri_blocks=25016021_246079974_2_1_0__7560&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,https://cf.bstatic.com/xdata/images/hotel/square240/139382628.webp?k=12c0582362c62c3de09a3bb4417b2f74506185c9b4cd47395a9750cb541f59d1&o=,N/A,N/A
Hyatt House Dallas Uptown,$93,2024-07-02,2024-07-03,7.5Scored 7.5 Good 902 reviews,N/A,"Uptown Dallas, Dallas",,N/A,N/A,1 miles from downtown,N/A,,https://www.booking.com/hotel/us/hyatt-house-dallas-uptown.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF9kYWxsYXNIM1gEaLACiAEBmAExuAEZyAEM2AEB6AEB-AEDiAIBqAIDuALcgY60BsACAdICJDc0MmYwZjdjLWQxNmUtNDNiZC1hMjQyLTU5YjE0ZTg3ZmU2ONgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-07-02&checkout=2024-07-03&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=b9d01eee598500a4&srepoch=1719894242&all_sr_blocks=52036903_393713443_2_1_0&highlighted_blocks=52036903_393713443_2_1_0&matching_block_id=52036903_393713443_2_1_0&sr_pri_blocks=52036903_393713443_2_1_0__9265&from=searchresults#hotelTmpl,https://cf.bstatic.com/xdata/images/hotel/square240/115949968.webp?k=32e8451810d84656ded2b55355fda3fae24bd2963d5fed93a4e15215ca4bd98b&o=,N/A,N/A
La Quinta by Wyndham Dallas Love Field,$95,2024-07-02,2024-07-03,"7.8Scored 7.8 Good 1,151 reviews",N/A,Dallas,,N/A,N/A,5.3 miles from downtown,N/A,,https://www.booking.com/hotel/us/amp-suites-dallas-love-field.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF9kYWxsYXNIM1gEaLACiAEBmAExuAEZyAEM2AEB6AEB-AEDiAIBqAIDuALcgY60BsACAdICJDc0MmYwZjdjLWQxNmUtNDNiZC1hMjQyLTU5YjE0ZTg3ZmU2ONgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-07-02&checkout=2024-07-03&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=b9d01eee598500a4&srepoch=1719894242&all_sr_blocks=45766801_246079497_3_1_0&highlighted_blocks=45766801_246079497_3_1_0&matching_block_id=45766801_246079497_3_1_0&sr_pri_blocks=45766801_246079497_3_1_0__9500&from=searchresults#hotelTmpl,https://cf.bstatic.com/xdata/images/hotel/square240/203464724.webp?k=230bab2c9fd01c8ff4d38e82eaf27e69baf7c12bda1adf827aa7d5ce9bb20dfd&o=,N/A,N/A
Dallas Love Field Inn,$49,2024-07-02,2024-07-03,"3.3Scored 3.3 Review score 1,435 reviews",N/A,Dallas,,N/A,N/A,4.8 miles from downtown,N/A,,https://www.booking.com/hotel/us/knights-inn-market-center-95313.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF9kYWxsYXNIM1gEaLACiAEBmAExuAEZyAEM2AEB6AEB-AEDiAIBqAIDuALcgY60BsACAdICJDc0MmYwZjdjLWQxNmUtNDNiZC1hMjQyLTU5YjE0ZTg3ZmU2ONgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-07-02&checkout=2024-07-03&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=b9d01eee598500a4&srepoch=1719894242&all_sr_blocks=37260544_163830170_2_0_0&highlighted_blocks=37260544_163830170_2_0_0&matching_block_id=37260544_163830170_2_0_0&sr_pri_blocks=37260544_163830170_2_0_0__4900&from=searchresults#hotelTmpl,https://cf.bstatic.com/xdata/images/hotel/square240/193836455.webp?k=67b5a70938075cb2ecf2add3f3c6086b92b4534d471b8bc9c1afbf2fb13f0728&o=,N/A,N/A
"Studio 6-Dallas, TX - Northwest",$58,2024-07-02,2024-07-03,7.2Scored 7.2 Good 271 reviews,N/A,Dallas,,N/A,N/A,7.2 miles from downtown,N/A,,https://www.booking.com/hotel/us/studio-6-dallas-northwest.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF9kYWxsYXNIM1gEaLACiAEBmAExuAEZyAEM2AEB6AEB-AEDiAIBqAIDuALcgY60BsACAdICJDc0MmYwZjdjLWQxNmUtNDNiZC1hMjQyLTU5YjE0ZTg3ZmU2ONgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-07-02&checkout=2024-07-03&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=b9d01eee598500a4&srepoch=1719894242&all_sr_blocks=24023204_353227732_2_0_0&highlighted_blocks=24023204_353227732_2_0_0&matching_block_id=24023204_353227732_2_0_0&sr_pri_blocks=24023204_353227732_2_0_0__5759&from=searchresults#hotelTmpl,https://cf.bstatic.com/xdata/images/hotel/square240/109132960.webp?k=d9fddf804725f85a565ddde3d2ffbb812320eba922879302a73e6b11c5f9dec7&o=,N/A,N/A
La Quinta by Wyndham Dallas North Central,$86,2024-07-02,2024-07-03,"7.7Scored 7.7 Good 1,494 reviews",N/A,Dallas,,N/A,N/A,7.1 miles from downtown,N/A,,https://www.booking.com/hotel/us/inn-and-suites-dallas-north-central.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF9kYWxsYXNIM1gEaLACiAEBmAExuAEZyAEM2AEB6AEB-AEDiAIBqAIDuALcgY60BsACAdICJDc0MmYwZjdjLWQxNmUtNDNiZC1hMjQyLTU5YjE0ZTg3ZmU2ONgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-07-02&checkout=2024-07-03&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=b9d01eee598500a4&srepoch=1719894242&all_sr_blocks=46460501_246079979_2_1_0&highlighted_blocks=46460501_246079979_2_1_0&matching_block_id=46460501_246079979_2_1_0&sr_pri_blocks=46460501_246079979_2_1_0__8550&from=searchresults#hotelTmpl,https://cf.bstatic.com/xdata/images/hotel/square240/266345579.webp?k=f26d22bb2b18c6c4ccd33842b5a3bbe76cc293a966d72cb8275ba227aba3927f&o=,N/A,N/A
Sonesta Select Dallas Central Expressway,$90,2024-07-02,2024-07-03,"8.1Scored 8.1 Very Good 1,482 reviews",N/A,Dallas,,N/A,N/A,7.3 miles from downtown,N/A,,https://www.booking.com/hotel/us/sonesta-select-dallas-central-expressway.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF9kYWxsYXNIM1gEaLACiAEBmAExuAEZyAEM2AEB6AEB-AEDiAIBqAIDuALcgY60BsACAdICJDc0MmYwZjdjLWQxNmUtNDNiZC1hMjQyLTU5YjE0ZTg3ZmU2ONgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-07-02&checkout=2024-07-03&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=b9d01eee598500a4&srepoch=1719894242&all_sr_blocks=0_0_2_0_0&highlighted_blocks=0_0_2_0_0&matching_block_id=0_0_2_0_0&sr_pri_blocks=0_0_2_0_0__8958&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,https://cf.bstatic.com/xdata/images/hotel/square240/305739838.webp?k=9c7c29212126f778e1631fc7c6ffb84403b7c35cc0f666d54b5681d04c8b4bfa&o=,N/A,N/A
La Quinta Inn & Suites by Wyndham Dallas/Fairpark,$79,2024-07-02,2024-07-03,"7.3Scored 7.3 Good 1,264 reviews",N/A,Dallas,,N/A,N/A,6.2 miles from downtown,N/A,,https://www.booking.com/hotel/us/la-quinta-inn-suites-by-wyndham-dallas-fairpark.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF9kYWxsYXNIM1gEaLACiAEBmAExuAEZyAEM2AEB6AEB-AEDiAIBqAIDuALcgY60BsACAdICJDc0MmYwZjdjLWQxNmUtNDNiZC1hMjQyLTU5YjE0ZTg3ZmU2ONgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-07-02&checkout=2024-07-03&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=popularity&srpvid=b9d01eee598500a4&srepoch=1719894242&all_sr_blocks=682680701_278280001_2_1_0&highlighted_blocks=682680701_278280001_2_1_0&matching_block_id=682680701_278280001_2_1_0&sr_pri_blocks=682680701_278280001_2_1_0__7945&from=searchresults#hotelTmpl,https://cf.bstatic.com/xdata/images/hotel/square240/278929921.webp?k=d2cb6f4734a995783c9b957b49f21127f692351a3b0f2661e7afaa09e8559fd3&o=,N/A,N/A
