Name,Price,CheckIn,CheckOut,Rating,NumReviews,Address,Amenities,RoomType,Cancellation,Distance,PropertyType,StarRating,BookingURL,Photos,GuestScoreBreak,Description
Howard Johnson by Wyndham Arlington Ballpark / Six Flags,$79,2024-07-03,2024-07-04,"7.7Scored 7.7 Good 1,540 reviews",N/A,Arlington,,N/A,N/A,2.4 miles from center,N/A,,https://www.booking.com/hotel/us/howard-johnson-arlington.html?aid=304142&label=gen173nr-1FCAQoggJCEHNlYXJjaF9hcmxpbmd0b25IM1gEaLACiAEBmAExuAEZyAEM2AEB6AEB-AEDiAIBqAIDuAKX3pK0BsACAdICJDk2NmY5YjRjLTRjODktNGVlZi04ZmVmLWIxNDgwYzU2MDk0MtgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-07-03&checkout=2024-07-04&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=ed210d4bd10c01ff&srepoch=1719971612&all_sr_blocks=7598503_375351538_2_0_0&highlighted_blocks=7598503_375351538_2_0_0&matching_block_id=7598503_375351538_2_0_0&sr_pri_blocks=7598503_375351538_2_0_0__7900&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,https://cf.bstatic.com/xdata/images/hotel/square240/159794551.webp?k=ec0e2a2b07c76673a4c39186892c0745060b3ab50e2fd1f9d5dc1ff58cf4178d&o=,N/A,N/A
"Motel 6-Arlington, TX - UTA",$45,2024-07-03,2024-07-04,6.1Scored 6.1 Review score 667 reviews,N/A,Arlington,,N/A,N/A,0.9 miles from center,N/A,,https://www.booking.com/hotel/us/parkway-inn-arlington.html?aid=304142&label=gen173nr-1FCAQoggJCEHNlYXJjaF9hcmxpbmd0b25IM1gEaLACiAEBmAExuAEZyAEM2AEB6AEB-AEDiAIBqAIDuAKX3pK0BsACAdICJDk2NmY5YjRjLTRjODktNGVlZi04ZmVmLWIxNDgwYzU2MDk0MtgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-07-03&checkout=2024-07-04&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=ed210d4bd10c01ff&srepoch=1719971612&all_sr_blocks=39803905_112105034_2_0_0&highlighted_blocks=39803905_112105034_2_0_0&matching_block_id=39803905_112105034_2_0_0&sr_pri_blocks=39803905_112105034_2_0_0__4454&from=searchresults#hotelTmpl,https://cf.bstatic.com/xdata/images/hotel/square240/195901133.webp?k=58f93caa07191d8484174fbfbc47d6a6af9bc71d092184c8b1aa4706a7a82930&o=,N/A,N/A
Motel 6 Arlington TX Entertainment District,$54,2024-07-03,2024-07-04,6.0Scored 6.0 Review score 660 reviews,N/A,Arlington,,N/A,N/A,1.1 miles from center,N/A,,https://www.booking.com/hotel/us/days-inn-six-flags.html?aid=304142&label=gen173nr-1FCAQoggJCEHNlYXJjaF9hcmxpbmd0b25IM1gEaLACiAEBmAExuAEZyAEM2AEB6AEB-AEDiAIBqAIDuAKX3pK0BsACAdICJDk2NmY5YjRjLTRjODktNGVlZi04ZmVmLWIxNDgwYzU2MDk0MtgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-07-03&checkout=2024-07-04&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=ed210d4bd10c01ff&srepoch=1719971612&all_sr_blocks=39581511_382055023_2_0_0&highlighted_blocks=39581511_382055023_2_0_0&matching_block_id=39581511_382055023_2_0_0&sr_pri_blocks=39581511_382055023_2_0_0__5449&from=searchresults#hotelTmpl,https://cf.bstatic.com/xdata/images/hotel/square240/162400360.webp?k=7c118103375c590f7fcdc5bc73a24dab91257b1caf9231b9c443952e0fd99fc6&o=,N/A,N/A
Courtyard by Marriott Dallas Arlington South,$109,2024-07-03,2024-07-04,8.2Scored 8.2 Very Good 216 reviews,N/A,Arlington,,N/A,N/A,3.8 miles from center,N/A,,https://www.booking.com/hotel/us/courtyard-by-marriott-dallas-arlington-south.html?aid=304142&label=gen173nr-1FCAQoggJCEHNlYXJjaF9hcmxpbmd0b25IM1gEaLACiAEBmAExuAEZyAEM2AEB6AEB-AEDiAIBqAIDuAKX3pK0BsACAdICJDk2NmY5YjRjLTRjODktNGVlZi04ZmVmLWIxNDgwYzU2MDk0MtgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-07-03&checkout=2024-07-04&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=ed210d4bd10c01ff&srepoch=1719971612&all_sr_blocks=18779712_287462561_0_34_0&highlighted_blocks=18779712_287462561_0_34_0&matching_block_id=18779712_287462561_0_34_0&sr_pri_blocks=18779712_287462561_0_34_0__10900&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,https://cf.bstatic.com/xdata/images/hotel/square240/439557285.webp?k=0db703d9626b760a81d15316442a7cbd29aa103927b5315024e93d6eda23014b&o=,N/A,N/A
Homewood Suites by Hilton Dallas-Arlington,$139,2024-07-03,2024-07-04,5.3Scored 5.3 Review score 106 reviews,N/A,Arlington,,N/A,N/A,2.8 miles from center,N/A,,https://www.booking.com/hotel/us/homewood-suites-by-hilton-r-dallas-arlington.html?aid=304142&label=gen173nr-1FCAQoggJCEHNlYXJjaF9hcmxpbmd0b25IM1gEaLACiAEBmAExuAEZyAEM2AEB6AEB-AEDiAIBqAIDuAKX3pK0BsACAdICJDk2NmY5YjRjLTRjODktNGVlZi04ZmVmLWIxNDgwYzU2MDk0MtgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-07-03&checkout=2024-07-04&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=ed210d4bd10c01ff&srepoch=1719971612&all_sr_blocks=4243401_274558904_4_1_0&highlighted_blocks=4243401_274558904_4_1_0&matching_block_id=4243401_274558904_4_1_0&sr_pri_blocks=4243401_274558904_4_1_0__13900&nad_id=bdbc4d38-01c3-401a-b7a6-ab9f4abe698c_0&nad_cpc=1.11&nad_track=eyJyYW5rIjoxLCJrb2RkaVRyYWNraW5nSW5mbyI6IjRCWnNuL0tZeCtEU3NiM2x0VDNLOFpQdjBkZFdsZHFwTmRrRlJTSTVGOTA3ckhmVDZSNENIeFQ3WTNScmRqMUwvbU9WdTN5UVU3aTBkcjdjTWp5dmVtbUxEOEZwaGhvQzJEV2UySlJaOVIvczJEN3Zqb1JKK08wRHY0RVZ4Vzk4cHNtbzJxZnlBVWM5MDNMUzBGMTh0OFpUdllEbjlXckNub0hDRHNqOUYvd2huMS9XQTYxdXErUUZCVldMNzhyRC9CRkVmZGhUd1NqMm9aRFJaZTlIMlluTUpDbEthbmhnZkRrci9LNWorSnhZL21TN0FPdlpRZjVXdEVuYm1kbzFyWDg5dUtaNmpLa2Z6T2phWTNvazJMeGV4Q0IzYWNGMzNmTWk0ZDRoa2NuZWZTOGVXNTF4R0FMQ0NJOEZnY2wyN0pZNTdDaW5Xd1dZTFBnMnVmS2FaQ2NRdFVtZHZ5UnpDa3FleTBJRTVSaStBcUc3N1Y2cVZGZ2diQ2c3WGJjODdTUUd4VjZhUzRxSW8wdUdkcjVsSy9LYU5uc2FuMDcvT1Y5Vnh0SFQ1UCtNZTZBa3ZyMjdvTXQ0ZnVFRHM4T2kwdXV1WG5Cc2VzTjBjWGJIZ0FMSVJ1VUhkWktFY1p6N2xUeU0vWGxHUFF6MGwycFJGUzYzSW1zTXgwL3NzQWNxMytpRGg0R1hPZFJJODFPdUQ2dHRZem9YN1lCT1BTeDU3ZDVLZldEK1VDTjE2NmYwenovcUVYT1krYUVoc2JkNThiNHpTYkVSU1cwN0U3clQ1MUdFNnVETVRyU0tnaTdPRWpwN3NPaE9tYi9vSFhMUTI0dWhTT0ExOWRlRUhoQy9uZEozLzZKbE85Zk1LQnpwdkNKUG44ellhdHpXbTdBMUtFNGYvcCtPV2FiNlpPOHhZVXNlRWFaM3RacWthVWNBcWJBS1Uxckw0L29UK0dicFU1TkVNQmJseml0UmFxdkJpbWdoVmVJeFlhNE9UT0RwSURDVi8xYzZWNW1uYUN0dmtkOUlDNkFwLzZUYysvWSthbnA5UDgzNWd5OVkrUkJqSEJvMngyS2lQZWJkOGNwZlZIOWU4Vmoya1VZQ3NJYUtFbVlzVEJGRWFZb1AvUzRrL0F5dlY2YlZNZW40YzUwd1NvelMyMEJuVWRsOUpsb2cwei9mM00yWUsrYVpvWDZsalp1dGFsYVl6azJsQVpvOTJMam1GeDkwck1RcUt3TTMzaUdHU0VQeEtpa1gyS2VPTmZPbVZmeHBJOWk2V1ZjdGdvM05xMU5GODlQWHNram5yRE5KUkpaZDZuVWNkZjFROG1VeHB6Y0tXMmY3bEJzVDFzeXF5b1Y2bkd2aXl6NWZ4Vjdwbmo4MVRtYkE1RnV0blNmRGdJL0twSHhuelROcjVwa0RFTXFnanNiSkMzcVBtMWM2SUhMN2JNMWVzZElLaEpKMXNVczRQTUxwREhNaXl3c0J3cFVSWWhMeVdzczJVUnVVcG5aSUtKdTZkOTcyZHVLZG85V1V3bVBlY2h6Z3hEZTl4OGpvM1RQcnNHdVdtbE9sSXBTbklzcXd4Z204MjZUMHNjM2tBRnFldG10ODNjZmoyWmkySnRRdklHSFd4VjRFYlMwTHZpU0xlelU1Uk91eittWTRVaGdISkYwRllGbElDYmJaUVZoRXRtYlI4ejRBKzlkQ21rTnV2dGlKRERIaGNvcmZDeDRXbzFscDdJTjQvd2JsbnJtOEh4aGM1bWhxK3RVMTBiNUJCM1c5YU9IRWhnTVRLY0VDOFhrbkNBMDdoNUdYazJjRzIyNytpWG8xRFQ0Y1RrRjhremVEVHUwa2tIRWt1ZHUwUjBlcE9PT2x4elJQLy9CQlBqNjR5SkR5eWM3TzNrNnhIOCt3cHdHcVQ5Q1ZyS3U3K3UyME12VXc2VTBFeU9OUytlaWdRQXBGNSs1TjRiaFhSYXU3dEJqcVp5cFBLUjk3enlWZWZPQ0hjK3QrRWpUZk15dEVVazIydFkyOGdPbzJ2cFJzaWVLSW91emxrYnhXUzhqM1JyL0w0SnRTazkzYUJ0cUh3RlhNbDR2SjFmZ3FCc0tINk9LVkJjZ29KaFpvQmtOWFhraytNYmd0dURJRWg1TUxGbThLSHp4Wk1iaE13OEU3c1U0eXJ6UXc0a2FiYzNPZHIxOU53UnBNeUQ0YzlHVTdwWG80MWNlNWVZNVhTQnlOM1BmWTFXN2tjUkFuNDN5dkRFeWkvcGVzRmV5YmNkVWxLa0kvVFAxczlJdU9BdGxEZEtZUWMwNzltREVhTlpDbS94V0lXZTF2NHRVQ29wbVJQY3RRTWxZVGpaN0s4cE5XU1I5TklEUG1IQ1dFNFRzbHdoejZ2UWlTaHF0WE9uMGs1SmhDcllQc2VkMGpnRHUxczJnckhjelZsbWx6blgzUS9KTGVqdVNpNjZwQWlTdGdkSjlIejBObGdYUFJMVDRtWm1ZaktHTGFVNkZ1cCtDbzZwcnJhbjRSL2FJWTUzM0J1OEFMMXdnNUJnUldMVVljVkRBZDhobysrOFR5cHNCcVUzTEdDUGk0bE9SMkNQdlNBUWVKWWxLN1prUFkvMWdvVXlTZjlQTnNyM0lxUXFyOC9TQ3dpRmhDUkk0OE13aXIzd3E4eTNwK1BpS0crUUhHRTB4dHB1SGliWTRaTk9aeDVLMGRZYnhUVlZ4UzQ3N3I3ak9KT2xJcktTbHdFZHR6aUx1Y0EzcUFXNFdmdmFMUktWNFdxcCtXdGZSOEl3UVZWblo1eXQ3Y0pHa0Vzak5wT3FkQ2NlSmxkcHgwaWJJb3BKTm95eFM4dGpKNDZmN1BDQkJ1d1pHQUQ3OERTczI3TG5PbmVxZ0FGK0lVRGdGV0czQXVYK0d1ZE9lS0laTUNDUjNCQTQ2NjlPT2srTXRXMkNEQXRkdVhDKzJJbXFyN09FUDkrSzRhM3ZESTR5L0R6bVdsRktRQVNaZWxsa25FQXcvWFFJTkJmZzlqT3JvelI2cFNsVHI2Q3U2Z1ZmMC9kVXdaMlJrdnU3ZGQ5eFV3MkMySlBUVmpIZ2kyck5Tem5ld2RlV2R4QkxkQWVTb28yekRNVEhCTlNWTmhZOFdqekpyWFdtcllQZndXNDRZTzQvZU9JT1h0MTNBSmd4MTdBNkxvR3VmNXpBZnIwYWZ0Z1FMVmc0bzBsL0F5UkZUU01Xbythc1RXL21GRklTQnlHRlRJeEtiVHB5QnBiS2VhWVNDNmNCdmkyZFhwNG5aQ1Q1Ukk3WnBadFZjdUd4YU1ydVQvNHpNQmN2SFVXNEJqb2poZEgyVT0ifQ%3D%3D&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,https://cf.bstatic.com/xdata/images/hotel/square240/484631691.webp?k=529b8978a2e3097c6788e8984009df29c0b65eaaf21fbd41292cc7b0fb542a47&o=,N/A,N/A
Days Inn & Suites by Wyndham Arlington Near Six Flags,$57,2024-07-03,2024-07-04,"6.1Scored 6.1 Review score 1,391 reviews",N/A,Arlington,,N/A,N/A,2.9 miles from center,N/A,,https://www.booking.com/hotel/us/motel-6-dallas-arlington.html?aid=304142&label=gen173nr-1FCAQoggJCEHNlYXJjaF9hcmxpbmd0b25IM1gEaLACiAEBmAExuAEZyAEM2AEB6AEB-AEDiAIBqAIDuAKX3pK0BsACAdICJDk2NmY5YjRjLTRjODktNGVlZi04ZmVmLWIxNDgwYzU2MDk0MtgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-07-03&checkout=2024-07-04&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=ed210d4bd10c01ff&srepoch=1719971612&all_sr_blocks=29688511_246034464_2_1_0&highlighted_blocks=29688511_246034464_2_1_0&matching_block_id=29688511_246034464_2_1_0&sr_pri_blocks=29688511_246034464_2_1_0__5700&from=searchresults#hotelTmpl,https://cf.bstatic.com/xdata/images/hotel/square240/329065016.webp?k=9554a5d7397e6bacdabd8f5c32a6b41a24504c1724c092e10e248b6e07ddfcb0&o=,N/A,N/A
"Holiday Inn Express & Suites Arlington North – Stadium Area, an IHG Hotel",$124,2024-07-03,2024-07-04,"8.1Scored 8.1 Very Good 1,197 reviews",N/A,Arlington,,N/A,N/A,3.1 miles from center,N/A,,https://www.booking.com/hotel/us/wingate-by-wyndham-arlington-1024-brookhollow.html?aid=304142&label=gen173nr-1FCAQoggJCEHNlYXJjaF9hcmxpbmd0b25IM1gEaLACiAEBmAExuAEZyAEM2AEB6AEB-AEDiAIBqAIDuAKX3pK0BsACAdICJDk2NmY5YjRjLTRjODktNGVlZi04ZmVmLWIxNDgwYzU2MDk0MtgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-07-03&checkout=2024-07-04&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=ed210d4bd10c01ff&srepoch=1719971612&all_sr_blocks=35343618_242483195_2_1_0&highlighted_blocks=35343618_242483195_2_1_0&matching_block_id=35343618_242483195_2_1_0&sr_pri_blocks=35343618_242483195_2_1_0__12400&from=searchresults#hotelTmpl,https://cf.bstatic.com/xdata/images/hotel/square240/275008419.webp?k=243387a284ed1f1961b06019522a0eb2da71a8f483db3ef467be02b6a95a34b0&o=,N/A,N/A
Super 8 by Wyndham Arlington Near AT&T Stadium,$67,2024-07-03,2024-07-04,4.9Scored 4.9 Review score 372 reviews,N/A,Arlington,,N/A,N/A,2.7 miles from center,N/A,,https://www.booking.com/hotel/us/super-8-arlington.html?aid=304142&label=gen173nr-1FCAQoggJCEHNlYXJjaF9hcmxpbmd0b25IM1gEaLACiAEBmAExuAEZyAEM2AEB6AEB-AEDiAIBqAIDuAKX3pK0BsACAdICJDk2NmY5YjRjLTRjODktNGVlZi04ZmVmLWIxNDgwYzU2MDk0MtgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-07-03&checkout=2024-07-04&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=ed210d4bd10c01ff&srepoch=1719971612&all_sr_blocks=44367518_113892023_2_1_0&highlighted_blocks=44367518_113892023_2_1_0&matching_block_id=44367518_113892023_2_1_0&sr_pri_blocks=44367518_113892023_2_1_0__6660&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,https://cf.bstatic.com/xdata/images/hotel/square240/135006014.webp?k=7dea20622e68e6d808db1ed725a73ed4bb109f3e487e12c925fe85249a517a38&o=,N/A,N/A
La Quinta by Wyndham Arlington North 6 Flags Dr,$119,2024-07-03,2024-07-04,"8.4Scored 8.4 Very Good 1,488 reviews",N/A,Arlington,,N/A,N/A,2.8 miles from center,N/A,,https://www.booking.com/hotel/us/inn-amp-suites-arlington-north-6-flags-drive.html?aid=304142&label=gen173nr-1FCAQoggJCEHNlYXJjaF9hcmxpbmd0b25IM1gEaLACiAEBmAExuAEZyAEM2AEB6AEB-AEDiAIBqAIDuAKX3pK0BsACAdICJDk2NmY5YjRjLTRjODktNGVlZi04ZmVmLWIxNDgwYzU2MDk0MtgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-07-03&checkout=2024-07-04&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=ed210d4bd10c01ff&srepoch=1719971612&all_sr_blocks=46147602_213416704_2_33_0&highlighted_blocks=46147602_213416704_2_33_0&matching_block_id=46147602_213416704_2_33_0&sr_pri_blocks=46147602_213416704_2_33_0__11880&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,https://cf.bstatic.com/xdata/images/hotel/square240/194517300.webp?k=decfe052d6f9299dc3d0bd1e2973856573704bdbb81842c9078d9645d4822933&o=,N/A,N/A
La Quinta by Wyndham Dallas Arlington South,$86,2024-07-03,2024-07-04,6.8Scored 6.8 Review score 834 reviews,N/A,Arlington,,N/A,N/A,4 miles from center,N/A,,https://www.booking.com/hotel/us/inn-amp-suites-dallas-arlington-south.html?aid=304142&label=gen173nr-1FCAQoggJCEHNlYXJjaF9hcmxpbmd0b25IM1gEaLACiAEBmAExuAEZyAEM2AEB6AEB-AEDiAIBqAIDuAKX3pK0BsACAdICJDk2NmY5YjRjLTRjODktNGVlZi04ZmVmLWIxNDgwYzU2MDk0MtgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-07-03&checkout=2024-07-04&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=ed210d4bd10c01ff&srepoch=1719971612&all_sr_blocks=46280103_246078886_2_1_0&highlighted_blocks=46280103_246078886_2_1_0&matching_block_id=46280103_246078886_2_1_0&sr_pri_blocks=46280103_246078886_2_1_0__8550&from=searchresults#hotelTmpl,https://cf.bstatic.com/xdata/images/hotel/square240/251475136.webp?k=82389bc9d9fc2d09a5c4e40de5c837d90a0a3bda511b294a9bf730f6e6d4aa02&o=,N/A,N/A
