Name,Price,CheckIn,CheckOut,Rating,NumReviews,Address,Amenities,RoomType,Cancellation,Distance,PropertyType,StarRating,BookingURL,Photos,GuestScoreBreak,Description
Palace Inn Blue Houston East Beltway 8,$81,2024-07-03,2024-07-04,8.8Scored 8.8 Excellent 411 reviews,N/A,Houston,,N/A,N/A,12.5 miles from center,N/A,N/A,https://www.booking.com/hotel/us/palace-inn-blue.html?aid=304142&label=gen173nr-1FCAQoggJCDnNlYXJjaF9ob3VzdG9uSDNYBGiwAogBAZgBMbgBGcgBDNgBAegBAfgBA4gCAagCA7gCjNqStAbAAgHSAiQxNjI4OTU0YS1mNWE5LTQxMmQtYjU0ZC1hM2M3YTcyNzA4YTHYAgXgAgE&ucfs=1&arphpl=1&checkin=2024-07-03&checkout=2024-07-04&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=fa450c46e16100d2&srepoch=1719971090&all_sr_blocks=717232801_390417822_0_1_0&highlighted_blocks=717232801_390417822_0_1_0&matching_block_id=717232801_390417822_0_1_0&sr_pri_blocks=717232801_390417822_0_1_0__8100&from_sustainable_property_sr=1&from=searchresults,https://cf.bstatic.com/xdata/images/hotel/square240/295018144.webp?k=1ccc2f458b8b284cb10696953b614761f40ae66f866fb80764835d7676ba0000&o=,N/A,N/A
Hilton Houston Plaza/Medical Center,$104,2024-07-03,2024-07-04,7.9Scored 7.9 Good 957 reviews,N/A,"Medical Center, Houston",,N/A,N/A,4.2 miles from center,N/A,N/A,https://www.booking.com/hotel/us/hilton-houston-plaza-medical-center.html?aid=304142&label=gen173nr-1FCAQoggJCDnNlYXJjaF9ob3VzdG9uSDNYBGiwAogBAZgBMbgBGcgBDNgBAegBAfgBA4gCAagCA7gCjNqStAbAAgHSAiQxNjI4OTU0YS1mNWE5LTQxMmQtYjU0ZC1hM2M3YTcyNzA4YTHYAgXgAgE&ucfs=1&arphpl=1&checkin=2024-07-03&checkout=2024-07-04&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=fa450c46e16100d2&srepoch=1719971090&all_sr_blocks=4370019_350830449_2_2_0&highlighted_blocks=4370019_350830449_2_2_0&matching_block_id=4370019_350830449_2_2_0&sr_pri_blocks=4370019_350830449_2_2_0__10400&from_sustainable_property_sr=1&from=searchresults,https://cf.bstatic.com/xdata/images/hotel/square240/484324823.webp?k=54aa90dc3c5043f8baa3d8e55200e06895ee93b739e91b191703aa81ea738ea0&o=,N/A,N/A
Hampton Inn and Suites Houston Central,$119,2024-07-03,2024-07-04,8.7Scored 8.7 Excellent 393 reviews,N/A,Houston,,N/A,N/A,4.2 miles from center,N/A,N/A,https://www.booking.com/hotel/us/comfort-inn-downtown.html?aid=304142&label=gen173nr-1FCAQoggJCDnNlYXJjaF9ob3VzdG9uSDNYBGiwAogBAZgBMbgBGcgBDNgBAegBAfgBA4gCAagCA7gCjNqStAbAAgHSAiQxNjI4OTU0YS1mNWE5LTQxMmQtYjU0ZC1hM2M3YTcyNzA4YTHYAgXgAgE&ucfs=1&arphpl=1&checkin=2024-07-03&checkout=2024-07-04&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=fa450c46e16100d2&srepoch=1719971090&all_sr_blocks=5767601_266277619_3_1_0&highlighted_blocks=5767601_266277619_3_1_0&matching_block_id=5767601_266277619_3_1_0&sr_pri_blocks=5767601_266277619_3_1_0__11900&nad_id=6f926b04-6c05-47e1-ad39-d81ff447f640_0&nad_cpc=1.21&nad_track=eyJyYW5rIjoxLCJrb2RkaVRyYWNraW5nSW5mbyI6IjIzQUVsUDRIVUZObUx1cTNOc0xZaVhDRDRPM2prN1NTYlNkYzRDa2UwdVZnT1QzMDVES1p1SUdzV2VjZWttM2NScEFmMDVnWEt4TjRxdUpMZFpHZjg0d29JaG9WVWhYMGI0by91TzlEZVZtdUtyUStZMEV3YjliQ3VrZ3VjNXErMm5qWFNLSTJaK0drL2p6aVJHM3Btc0ZockNScGZrTHBCbWZWdmd5TXhvQ2RRclE4Y0E5TmFma3ZGeUp3RFo0RFFYaytPWkFkODFhNWdCV0FTdlZNNG5EMGNIbzMyMWlOeE85c0t3QUhVam1kamhBSVpQUll0MTlERTFtdmVSVWlHSjFXakdla2tzKytDQlQ5cDd6cUFHWFpUbGQ5bkUyQ2w5Qk05QkxoWC82dW9VT2l3RTdkSzR1dWZTak5PbGREWXVKbWZmd05LNWlzZ2NRNXlLV2dRWE1TUGR1L3ZlSjg4eXlwK1B4WnNld0hZSVkrSFBkUWdSYnB6amVKQnVFbnNsOXUvZllXdzF3YXlyT1JkL0pUeUo5cTRkci92SzBFQ3dFZXNRNGJTSmZ2TEtjOWh3cmxDL2IybWZwTWRSYnR6amk3RCtDRXdVOGl3TnNrT3h2SFNDNEY1NWh0OTVOdXVONERQYTJQdDFkckx1NTQ4NThwTjU4emxZN3c5SHRaOVU5Q0RHbUVJOE1sdVJJZ3lCMmJVTVBlS0VNbTA1NWdVM2t6WWlrMWN5YjZFbHppdHNjMG1NQWRjcXl2ZklJTm9wRUszWkVzSkFCRHdabnhWRjV4MzZoRjNIalFWMXVXTmV0SGFWMWpYQ09acVNLUm14Ymd2S09rendCVEtxUTJOS2F4eDhwSXlNWC9KSWtTUUhsa1ZqNFNoVlRXZFNtSlArY3ZFcmZiaTA1YmV1ell5ekZGL091aG96QWNkeURqbmVCUjhjVHNFMG53LzUwR0VlVlE5OFdzQzhPUXV4N1I4YXo2eTZML3ZvUXJhSGVrM1NZY3R1VDI3QkhlbzU0b1FXYk55YmdRd0dJelhQa2VpUjhDcDZ3dzVpQlR0UFBOU1hGL2ovNE13ZENlRk9XZ2JFTVRSVVN3SW0wSUVBMXdMdjFGZHJzdnhNSy9jU2JjNXRsUEJQV1BvL1c1YjFlSHFBUXhKYVRRTVdRVWJYOHg3U05JaktkY1dpUHU2dTdyK3lNWXZwRU1Hd3FEazc3R0cxT3ZDZFhOa1hNTmx4K1pLSzFFbHJZTUVaeW1YRzhvMFJKK0FKaHFiU0ppQ1l6YTFVSWFLZEt2Q2JRdGJwODlRbG5ROWFKZjgxMUloVjY0TEFjMFBVM2h2enVTdDc1aEJJUHIxM0JBZWwyZ2pZbU11UnRMb1NiQXQ4MXZ5VGZHVmd6MlVidGlRaXk2Z3FEMWpPYS93Z3hpT3paQkkvcGk1ZXVucWNQOG5hdzNRT3djRm0vNXRNVVFrSWt3NkZxaUN2QmlQSk5Gczhuc2cyQ2M2d0wwcWtteGEvRXVLakg2SzFDV1dFWXFueFgrVmFpTHZSUVFjN25PTTlnS1IwZkpaMW9NdWtkazJQdnhPYk9OYWg4WGp3UEJUTlQyUDVKcXg1Q0dzOHQvMDhmckdRTmVVR2xGUlQ2c3N6ckM2WFR1clJqZm9JaFlXS1pYRnFqM3MvNnczeTZlY3Z5MldHcGxxZnBUNTJJM2I2Q3Z4REJyNjlZUjdma2wzTFpkcHJQQytBWER3QWVnUzdMblJhUnFRbzRlejhscXBMOUQvQjlnM0oveXovc1F2ajhtdlpXeHJFN3NRYUZmb3dldXQ4eUp4T3hEbU9HWTdESjhNNzdITFFxTmpMT280bDc3cHplbmdudElPeThlWldndkpEdGc5dWJDY2RrVlpkNThGb2ZhNUw1YzZycDlGYzB2enVCLzZZMmZTang3N3hUNzQvWXpMOGVHejNVa2UvbVMyUTc3MW1reC8vaFVwbm5RN2IveHJtbjhYeGd4ZHVxSmtnaUloY2Y5VDBaVW9WdDFmTFR6TWtoM2IzQTVBdWsxV2padUcxUjI1bk1veWloRFpUaXdzV3poWXJIWC9IR3NsdzhQMW5kZithdTBNa2JuM2RIU3NhMUpaajNmMmFJVzdPUVEyMysvYWJMWklXZ1BrRExONVdDT3ZXNE5YUHVhRWZhdGdSWVQ3R0dEWXBzL3J2N0Q4eFU1V29zY1NsR1UvT1IvWUczSWR0czdtUnN3Y1VveGZwQVdpNXp4R2hnQVNyMDlINjdXaFFvUFJMeFUvekZTaVJIMDl0d0w3UDUrNWRaV1lYQm54enhjUWdaWnBpRnZycTl3ZkNoOGlLUUJFcVl6THFhUkpVWnBHSERYU0lzSWZ4cERlbFdnRDdTekpDOUkySjVNQ2VJelBRc3dsSnpJMzhCN05PbmREUjFLR3luSHBUcmlyTmlKSXdYTFBOZnRLU01rQzRUSkh1MGo3ZXdBcUpRTmtxeXcwcERmZEZ6RlFxdzF1bWo2VFVBQXE4R0JEL08zeDhoWWFBOTZucDBjNFNqQXlYZjF3VWZnT3RSb3lrMG0ySTBybkE2dkVZOGh6aGhUNk1oaldhRTFBSUlYZng5RVV5OUtQYkRTQW4vWE5RM05Sb3U2ZUVsUjRYZy82aENWSVdsS1FvNHFUV3E1WGQxYUtMU2VTVi9MRk9QTVdnN3JBNjZLcDN4RVVFd2FUdWpiM2J2c0wxZ3J5aEF4RzhRSXBCZWRBalEzcnpkWThZQ2NUN1FlOFBEbFZaalMzZWE5ZnlFNkg1ZFFZc3Bma0FhemRmeEcraEcrZmVuZDBWRys2R0pVdU5yaUJGQ3huanpJZHN3TCs0Z2RDc2ozNmphd0o3UFZpWklYS1lLc1AwSHJES2lVb2ZuOVlOL2FrNGxjL2FNVDFrZzM5M1R5L3d5eXNjbUdOMms5YmE2WlQ1S2o3MFlmR2Y0N2xueHlsUUpuOXZRWUlTZFNUN2dldHB0emhweXVidlRXZDRUYTBQdHBhdDA5eEhkVjVHTkEwdFhKNEF1WlJxN1pOQ0pWdHk2dVcrRGZBRnpGc3diV0tob0lXNmgrRm0rU0p4aUdMekFQNld3eWN1ODc0NE0yR3FwLy95TTRaMDJqWHNTVUQyQ01jcFc5b1lKZEpIWGd5K3k4OFJ3Mmd0aHBoLytpRERrdUxuZ1gxbTB6a0tyOFNoRU9LWFNjcXBjL1hQUUNYY09KV3N0V24vd0tSNkRPdWp6b0tCYmlVZUxrNXNvR1VSVnlqejhmbE9nKzRlMGlPQmZVWVhxT2NTbDNaNVk3bkNXZk1qbkFGQT09In0%3D&from_sustainable_property_sr=1&from=searchresults,https://cf.bstatic.com/xdata/images/hotel/square240/493488847.webp?k=67c8b2394771ecae18ab1874025186cdbfeff434000ab0b88f9f0191bc2806c5&o=,N/A,N/A
DoubleTree by Hilton Houston Intercontinental Airport,$159,2024-07-03,2024-07-04,7.7Scored 7.7 Good 287 reviews,N/A,Houston,,N/A,N/A,13 miles from center,N/A,N/A,https://www.booking.com/hotel/us/doubletree-houston-intercontinental-airport.html?aid=304142&label=gen173nr-1FCAQoggJCDnNlYXJjaF9ob3VzdG9uSDNYBGiwAogBAZgBMbgBGcgBDNgBAegBAfgBA4gCAagCA7gCjNqStAbAAgHSAiQxNjI4OTU0YS1mNWE5LTQxMmQtYjU0ZC1hM2M3YTcyNzA4YTHYAgXgAgE&ucfs=1&arphpl=1&checkin=2024-07-03&checkout=2024-07-04&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=fa450c46e16100d2&srepoch=1719971090&all_sr_blocks=4298004_266274907_2_2_0&highlighted_blocks=4298004_266274907_2_2_0&matching_block_id=4298004_266274907_2_2_0&sr_pri_blocks=4298004_266274907_2_2_0__15900&from_sustainable_property_sr=1&from=searchresults,https://cf.bstatic.com/xdata/images/hotel/square240/474318442.webp?k=0f30b8c4d87d9d32e6a6ec360d1661bade8649f9f9972f9db44cdd32ba27ab2b&o=,N/A,N/A
Hyatt Regency Houston,$143,2024-07-03,2024-07-04,"8.7Scored 8.7 Excellent 1,307 reviews",N/A,"Downtown Houston, Houston",,N/A,N/A,in city center,N/A,N/A,https://www.booking.com/hotel/us/hyatt-regency.html?aid=304142&label=gen173nr-1FCAQoggJCDnNlYXJjaF9ob3VzdG9uSDNYBGiwAogBAZgBMbgBGcgBDNgBAegBAfgBA4gCAagCA7gCjNqStAbAAgHSAiQxNjI4OTU0YS1mNWE5LTQxMmQtYjU0ZC1hM2M3YTcyNzA4YTHYAgXgAgE&ucfs=1&arphpl=1&checkin=2024-07-03&checkout=2024-07-04&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=fa450c46e16100d2&srepoch=1719971090&all_sr_blocks=53718910_246037248_2_2_0&highlighted_blocks=53718910_246037248_2_2_0&matching_block_id=53718910_246037248_2_2_0&sr_pri_blocks=53718910_246037248_2_2_0__14310&from_sustainable_property_sr=1&from=searchresults,https://cf.bstatic.com/xdata/images/hotel/square240/504400103.webp?k=375a8e698dec8162d9b61c31e01a5b2e1f1c4ac6774f3ae03b87d1d0b08490f9&o=,N/A,N/A
AC Hotel by Marriott Houston Downtown,$123,2024-07-03,2024-07-04,8.5Scored 8.5 Very Good 604 reviews,N/A,"Downtown Houston, Houston",,N/A,N/A,in city center,N/A,N/A,https://www.booking.com/hotel/us/ac-by-marriott-houston-downtown.html?aid=304142&label=gen173nr-1FCAQoggJCDnNlYXJjaF9ob3VzdG9uSDNYBGiwAogBAZgBMbgBGcgBDNgBAegBAfgBA4gCAagCA7gCjNqStAbAAgHSAiQxNjI4OTU0YS1mNWE5LTQxMmQtYjU0ZC1hM2M3YTcyNzA4YTHYAgXgAgE&ucfs=1&arphpl=1&checkin=2024-07-03&checkout=2024-07-04&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=fa450c46e16100d2&srepoch=1719971090&all_sr_blocks=497558205_365327528_0_2_0&highlighted_blocks=497558205_365327528_0_2_0&matching_block_id=497558205_365327528_0_2_0&sr_pri_blocks=497558205_365327528_0_2_0__12300&from_sustainable_property_sr=1&from=searchresults,https://cf.bstatic.com/xdata/images/hotel/square240/491475996.webp?k=44c3b2c1f88737cc0cb6e9b60d12f4e752756ad00b5ba8636ba15802dbea2e95&o=,N/A,N/A
Hilton Garden Inn Houston/Galleria Area,$119,2024-07-03,2024-07-04,"8.4Scored 8.4 Very Good 1,889 reviews",N/A,"Galleria - Uptown, Houston",,N/A,N/A,6.5 miles from center,N/A,N/A,https://www.booking.com/hotel/us/hilton-garden-inn-houston-galleria-area.html?aid=304142&label=gen173nr-1FCAQoggJCDnNlYXJjaF9ob3VzdG9uSDNYBGiwAogBAZgBMbgBGcgBDNgBAegBAfgBA4gCAagCA7gCjNqStAbAAgHSAiQxNjI4OTU0YS1mNWE5LTQxMmQtYjU0ZC1hM2M3YTcyNzA4YTHYAgXgAgE&ucfs=1&arphpl=1&checkin=2024-07-03&checkout=2024-07-04&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=fa450c46e16100d2&srepoch=1719971090&all_sr_blocks=4285904_266271716_2_1_0&highlighted_blocks=4285904_266271716_2_1_0&matching_block_id=4285904_266271716_2_1_0&sr_pri_blocks=4285904_266271716_2_1_0__11900&from_sustainable_property_sr=1&from=searchresults,https://cf.bstatic.com/xdata/images/hotel/square240/490812805.webp?k=20790076f498520d896e1463db7575461ae23abcc9174c8d1b7042e2717d7a1e&o=,N/A,N/A
Hyatt Regency Houston West,$101,2024-07-03,2024-07-04,8.1Scored 8.1 Very Good 789 reviews,N/A,"Energy Corridor, Houston",,N/A,N/A,15.5 miles from center,N/A,N/A,https://www.booking.com/hotel/us/houston-westside.html?aid=304142&label=gen173nr-1FCAQoggJCDnNlYXJjaF9ob3VzdG9uSDNYBGiwAogBAZgBMbgBGcgBDNgBAegBAfgBA4gCAagCA7gCjNqStAbAAgHSAiQxNjI4OTU0YS1mNWE5LTQxMmQtYjU0ZC1hM2M3YTcyNzA4YTHYAgXgAgE&ucfs=1&arphpl=1&checkin=2024-07-03&checkout=2024-07-04&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=fa450c46e16100d2&srepoch=1719971090&all_sr_blocks=71792118_334902817_2_0_0&highlighted_blocks=71792118_334902817_2_0_0&matching_block_id=71792118_334902817_2_0_0&sr_pri_blocks=71792118_334902817_2_0_0__10115&from=searchresults,https://cf.bstatic.com/xdata/images/hotel/square240/454343196.webp?k=97f4de7821a0edeaacdb00cd6f2bb20fa26ebacd3847d821b972321478ac8ae2&o=,N/A,N/A
"Holiday Inn Express Hotel & Suites Houston North Intercontinental, an IHG Hotel",$89,2024-07-03,2024-07-04,7.7Scored 7.7 Good 124 reviews,N/A,Houston,,N/A,N/A,15.7 miles from center,N/A,N/A,https://www.booking.com/hotel/us/holiday-inn-express-suites-houston-north-intercontinental.html?aid=304142&label=gen173nr-1FCAQoggJCDnNlYXJjaF9ob3VzdG9uSDNYBGiwAogBAZgBMbgBGcgBDNgBAegBAfgBA4gCAagCA7gCjNqStAbAAgHSAiQxNjI4OTU0YS1mNWE5LTQxMmQtYjU0ZC1hM2M3YTcyNzA4YTHYAgXgAgE&ucfs=1&arphpl=1&checkin=2024-07-03&checkout=2024-07-04&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=fa450c46e16100d2&srepoch=1719971090&all_sr_blocks=18489106_246082433_2_1_0&highlighted_blocks=18489106_246082433_2_1_0&matching_block_id=18489106_246082433_2_1_0&sr_pri_blocks=18489106_246082433_2_1_0__8900&from=searchresults,https://cf.bstatic.com/xdata/images/hotel/square240/256159442.webp?k=3ec0890c81aa8a577f34dd3d0a2e4dc1d837f38cccb2d93b0f2e97668a39fb9f&o=,N/A,N/A
"Crowne Plaza Houston Med Ctr-Galleria Area, an IHG Hotel",$109,2024-07-03,2024-07-04,6.8Scored 6.8 Review score 279 reviews,N/A,"Greenway Plaza-Upper Kirby, Houston",,N/A,N/A,4.1 miles from center,N/A,N/A,https://www.booking.com/hotel/us/crowne-plaza-houston-river-oaks.html?aid=304142&label=gen173nr-1FCAQoggJCDnNlYXJjaF9ob3VzdG9uSDNYBGiwAogBAZgBMbgBGcgBDNgBAegBAfgBA4gCAagCA7gCjNqStAbAAgHSAiQxNjI4OTU0YS1mNWE5LTQxMmQtYjU0ZC1hM2M3YTcyNzA4YTHYAgXgAgE&ucfs=1&arphpl=1&checkin=2024-07-03&checkout=2024-07-04&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=fa450c46e16100d2&srepoch=1719971090&all_sr_blocks=18247310_244367339_4_34_0&highlighted_blocks=18247310_244367339_4_34_0&matching_block_id=18247310_244367339_4_34_0&sr_pri_blocks=18247310_244367339_4_34_0__10900&from=searchresults,https://cf.bstatic.com/xdata/images/hotel/square240/234949886.webp?k=4eb9222fbdac7079a36fe678532d797b3296e83601e364e4f4dc2a441030018c&o=,N/A,N/A
