Name,Price,CheckIn,CheckOut,Rating,NumReviews,Address,Amenities,RoomType,Cancellation,Distance,PropertyType,StarRating,BookingURL,Photos,GuestScoreBreak,Description
Quality Inn & Suites Plano East - Richardson,$61,2024-07-03,2024-07-04,7.5Scored 7.5 Good 625 reviews,N/A,Plano,,N/A,N/A,1.1 miles from downtown,N/A,,https://www.booking.com/hotel/us/southfork-ranch-and.html?aid=304142&label=gen173nr-1FCAQoggJCDHNlYXJjaF9wbGFub0gzWARosAKIAQGYATG4ARnIAQzYAQHoAQH4AQOIAgGoAgO4AtHekrQGwAIB0gIkMGJmNzJjMGEtNjFlMi00MjI0LTkwYjQtZmZkYzZjODU2NmE22AIF4AIB&ucfs=1&arphpl=1&checkin=2024-07-03&checkout=2024-07-04&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=31080d686c120264&srepoch=1719971669&all_sr_blocks=52220105_334064477_2_1_0&highlighted_blocks=52220105_334064477_2_1_0&matching_block_id=52220105_334064477_2_1_0&sr_pri_blocks=52220105_334064477_2_1_0__6100&from=searchresults,https://cf2.bstatic.com/xdata/images/hotel/square240/169766708.webp?k=a55c5cd8946f30ac9b0798402eeeeb1140d5ab7eef0ab416b031a0b433dacc98&o=,N/A,N/A
"HOLIDAY INN EXPRESS & SUITES DALLAS PLANO NORTH, an IHG Hotel",$85,2024-07-03,2024-07-04,9.0Scored 9.0 Wonderful 202 reviews,N/A,Plano,,N/A,N/A,1.9 miles from downtown,N/A,,https://www.booking.com/hotel/us/holiday-inn-express-suites-dallas-plano-north-an-ihg.html?aid=304142&label=gen173nr-1FCAQoggJCDHNlYXJjaF9wbGFub0gzWARosAKIAQGYATG4ARnIAQzYAQHoAQH4AQOIAgGoAgO4AtHekrQGwAIB0gIkMGJmNzJjMGEtNjFlMi00MjI0LTkwYjQtZmZkYzZjODU2NmE22AIF4AIB&ucfs=1&arphpl=1&checkin=2024-07-03&checkout=2024-07-04&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=31080d686c120264&srepoch=1719971669&all_sr_blocks=833583702_348648184_4_1_0&highlighted_blocks=833583702_348648184_4_1_0&matching_block_id=833583702_348648184_4_1_0&sr_pri_blocks=833583702_348648184_4_1_0__8500&from_sustainable_property_sr=1&from=searchresults,https://cf2.bstatic.com/xdata/images/hotel/square240/376425488.webp?k=d0bc6fa450ddfe5147eba0f3be10cacb6b943904bbe8299faed80c3c8c11cf0d&o=,N/A,N/A
Cambria Hotel Plano - Frisco,$97,2024-07-03,2024-07-04,8.9Scored 8.9 Excellent 333 reviews,N/A,"Legacy West, Plano",,N/A,N/A,8.7 miles from downtown,N/A,,https://www.booking.com/hotel/us/cambria-suites-plano-legacy.html?aid=304142&label=gen173nr-1FCAQoggJCDHNlYXJjaF9wbGFub0gzWARosAKIAQGYATG4ARnIAQzYAQHoAQH4AQOIAgGoAgO4AtHekrQGwAIB0gIkMGJmNzJjMGEtNjFlMi00MjI0LTkwYjQtZmZkYzZjODU2NmE22AIF4AIB&ucfs=1&arphpl=1&checkin=2024-07-03&checkout=2024-07-04&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=31080d686c120264&srepoch=1719971669&all_sr_blocks=122979802_91347800_2_2_0&highlighted_blocks=122979802_91347800_2_2_0&matching_block_id=122979802_91347800_2_2_0&sr_pri_blocks=122979802_91347800_2_2_0__9720&from_sustainable_property_sr=1&from=searchresults,https://cf2.bstatic.com/xdata/images/hotel/square240/56304124.webp?k=fb869e98b3671c8e3b327da97b0d58af31c0651ee53c85096d57d79ecd96a3a0&o=,N/A,N/A
"NYLO Dallas Plano Hotel, Tapestry Collection by Hilton",$109,2024-07-03,2024-07-04,8.0Scored 8.0 Very Good 349 reviews,N/A,"Legacy West, Plano",,N/A,N/A,8.4 miles from downtown,N/A,,https://www.booking.com/hotel/us/nylo-plano.html?aid=304142&label=gen173nr-1FCAQoggJCDHNlYXJjaF9wbGFub0gzWARosAKIAQGYATG4ARnIAQzYAQHoAQH4AQOIAgGoAgO4AtHekrQGwAIB0gIkMGJmNzJjMGEtNjFlMi00MjI0LTkwYjQtZmZkYzZjODU2NmE22AIF4AIB&ucfs=1&arphpl=1&checkin=2024-07-03&checkout=2024-07-04&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=31080d686c120264&srepoch=1719971669&all_sr_blocks=43065813_266270943_2_34_0&highlighted_blocks=43065813_266270943_2_34_0&matching_block_id=43065813_266270943_2_34_0&sr_pri_blocks=43065813_266270943_2_34_0__10900&nad_id=1e275e43-cbb8-417c-baa1-9ffe4b6c614b_0&nad_cpc=1.24&nad_track=eyJyYW5rIjoxLCJrb2RkaVRyYWNraW5nSW5mbyI6IjRCWnNuL0tZeCtEU3NiM2x0VDNLOFpQdjBkZFdsZHFwTmRrRlJTSTVGOTA3ckhmVDZSNENIeFQ3WTNScmRqMUwvbU9WdTN5UVU3aTBkcjdjTWp5dmVtbUxEOEZwaGhvQzJEV2UySlJaOVIvczJEN3Zqb1JKK08wRHY0RVZ4Vzk4cHNtbzJxZnlBVWM5MDNMUzBGMTh0OFpUdllEbjlXckNub0hDRHNqOUYvd2huMS9XQTYxdXErUUZCVldMNzhyRC9CRkVmZGhUd1NqMm9aRFJaZTlIMlluTUpDbEthbnRtZXo0di9hNWorSnhZL21TN0FPdlpRZjVXdEVuYm1kbzFyWDg5dUtaNmpLa2N5KzNlYVh3azJMeGV4Q0IzYWNGMzNmTWk0ZDBubHM3YWZDOGRYSmgxRWdUQ0NJOEZnY2wyN0pZNTdDaW5Xd1dZTFBkaDZxak1NSE1VdFJLZHVTZHpDaDJheWtKZDdCKzhBcUs2NjF5b1ZROHJPSHMvWExjODdTUUd4VjZhU29xQnVVWExiNjF5SyttWE4xMDJubGJzTGw1UHdORHYxK3FkUExndm83UDZxdFoxSmZrYnM4MnNnK3k3UzJFcll0dDBmM2lHakJqVFhPTU1Mb3FjY1pMMXh6bWI4M3hjSmdIanRscGRDRG53T21BUnlRLzdwZzhrenRXdXdabUFKY2xHc0ZhaUNMQjhhaUlNOXBWRElTNWk1OWdOWld2Z1R6ZGhwdUhneHo3MVJ6cUk3N0ZzNXJWNCs2VTBWTDROUXlGcUFLekFxUnFDOU9IU1RMV1p5R0RkQmpoNW83d0szci9yRVgrWmlNZXpRKzAxOWRlRkZnKytoczVsdnVZaU85VEdQZ09rODNSZGxNSFlhZHpYa0s4ME0xSU52OXZGVnFyaGJlVmhQaFVRQ2ZVMy9weW1kRXNLLytOZlFGZlc4SzVLdG5IcFRZSVRlRkdpbWlSQmQ2U1kyeTVpR3VjM1l1MWRBTFdrZFdtQTV4WXpVWmlyTHlabjBwNExSUEozc3JQYzlmd2xielV1ZHQ3dmpITVZveHhtRndrM3hXV2lQK2ZkNXB3QUFXMVU3RXFyM0J3TnVKcUpGbTA0VHdvVFBjOEQ5RE1vb0ZmaUdheldPZUc5SnNSNFN0aUhqeFpyWGNWdElVRTF4SGlYblpLWVliZlM1bUNsaDV2aE1SbWNqeFRvRFpReDA3VC9FUlI3OXQ0Z0pGOG4weCtHVGxqYk5EZ1g4cWlUTXRYbkVLcGdZSUR3UUZKNzBNbVlwVXNZdDUyWnEwN3RwU2hQWDVaZCtITVFZN2dmdVRscXFtSTNUMVNBdEJkeC92Vzc2SU5DcjJyQTBqOWcrUVRRaW1GcURXTEs2eUdTK3lQd2tzM3V1Z3RMOWpSMWhvUVlIWlcxeVl1SEhXYUZrQWRsY2pLK2N0RmIvNEZOMGNObnExZ3hkNHloVXpJLzJBQkkycDRNYkVMaFc4OTVHQWlDdFNnRk00U29Obyt1TktlT3BOMlRpekNTZEVqd3lEZjl6Ti84MnpibzVDUEdsaHVrUE0vOGJKai94ZytoZ1BLdXQ5am1VZ25OcGlSb2ladngySS9nWTRVck5uN1hsUkJjTDNwTjRYQ1liU1psRTdMbnJ5VnpBaG9YT1V3SlpsdFRBdUdURUVaSHBDSFh2bXRKNWM1U21rSnV2SkhNUUQyZ2RZSGJURnhBb1VKMDRZNC9xMEMrM3ZEaVNRcGY1MmgvNklsd3YrMEFWd2J3ZC9mcGx4b1VFc3NhdGpFekFBVXNoOU9Yd0hJNDFHMzIramNxR3hNTlYwaEhtUy9FQnZrc21HWWsrOXYrVkVTcEl2WGhnRFpUK2I0U2ZHN3htSnZ6aXBlUWlBSGhHTXVsb1FxbFdNZlM5LzNzcnI3MGV1Yzk1azhIcnVkTzgrcTVTZ3NuK2U1RTU3aGVSSzJudTNmNWZUd1JaMDB3NTI0V08vMlVaK3hwQ0NUT0tDTlFCUkxuOGNubDNLSWt0WnRzaUlhSnYrYmtqTFpYTDZMbFVLMmZ2OTBMcXBxQ1hjNkhsQWFOME5PU3hQRmtVNWZBdkxDUkc4MHFOQjFrRjFKTVdFcDVaYW90b0NnT3haTmNIMm9EQURjVWZyQUJuWVoxOHcwcnIyVit0Z0hGSW02WHNna0IvelVUZ3lRQnN5MEpuSFFnZ3Bid0taSkFEMVRNaTZtSXhYUGllbEZvczF1WkpnMzMvdG52TXRpNko1QnBPUUYzVUxwNStaQ0ZWSkFhYlBWWUpFSGhqbkJMV05YcXZrZlBDTFlDdjVZUXI1YVRQdHRJUFFWTXhjMlNqOVlhZFJOSk9nZldFeFNzNEQ4M3YwbSt0UnFUamFVR1pENEtvOUFPcTVqdGU4OWV3MnlpK1RkcVJLT0kxekJoa0hMUytJTEdnYmY5ci9ZUTJXSXNOYzBlandWemdXdWFkR3RWSzNGa1pDbjlVNDFxb0szaTZ2S3NmWEFUKzdGZmxDdmNydE5Bams4aUZ3NU5QQXRXVkZoYTVnTWw0Y1R5c01CREF6R1JGTFh4bEpCbENQdk1BUnZHSzBHdGRSMlY0MXd2RkR5VStxWm9zU2d0RC8rMTR6bWdpRmxDUnNkNWZ4djMzUk8waFFrckl6NkQ0Qk9JZGdzbzZ2RCtmOTU4YUtVdzhLb1JmSTBkQUIxRzVQWDVyRFBBZEVnc2VEVXFVc0Z6aHEyREJ5N2JBTVhjdkx2R2VRRks1Y1NjcEtRMGQwWlVRbnA1Z1lXZFpDb0h2ak1pWWVjQ011RnBkdGN2eXVwNHFJSnB4UXltcG1JanJiZUtFaGgraHN6ZlVmUUZXSnZrSjJtNWYrRlJSYW9UR0FobFVUNHhRdnJ2SzRqQ2VOQlBDMDJTVU1YUXZxMjc1ZEJxeVFiV3ZKYkNXOUdRaXIvd2JpYTg3ckFCM3ZEZnhSUGIxWG1mR0s0ZE5OYnVuVzdXRHhtY0NjOUhZeUJ2TFBGc0dQZ2I2REgzVEl2bEhhRjRTRXdacEZkbjUvQnQ2QlJna0hYQmVnVjJDeG5tLzRENjRPQWJmemM1WGY4SFNUODl4R0NmR0Rrd1JWRmxKcGI5Z2RUblMzUGNkcWhIby9zQzRmM0xjN3VnbVVBWW1oY3dWL09vWitYNjBrQ2xrcW4xamdUS2l0SmwxNk00VlYzTVFpRTRJWnFRcnlBcWZuRm9BRnJlZ3ZPLzRIWTNMNmVlV1Nyc09Gamt6Tkc5cGlNRFNKZE9wTjVMbzJpNVJtbjhobHZKQlFNcE9yZjNRZz09In0%3D&from_sustainable_property_sr=1&from=searchresults,https://cf2.bstatic.com/xdata/images/hotel/square240/484341429.webp?k=2b1a6c0774057c6a013bf551d02ac9509d7160a9d37b1e9ab308fc9410fd127f&o=,N/A,N/A
Sandman Signature Plano-Frisco Hotel,$131,2024-07-03,2024-07-04,8.9Scored 8.9 Excellent 959 reviews,N/A,Plano,,N/A,N/A,8.9 miles from downtown,N/A,,https://www.booking.com/hotel/us/sandman-signature-plano-frisco.html?aid=304142&label=gen173nr-1FCAQoggJCDHNlYXJjaF9wbGFub0gzWARosAKIAQGYATG4ARnIAQzYAQHoAQH4AQOIAgGoAgO4AtHekrQGwAIB0gIkMGJmNzJjMGEtNjFlMi00MjI0LTkwYjQtZmZkYzZjODU2NmE22AIF4AIB&ucfs=1&arphpl=1&checkin=2024-07-03&checkout=2024-07-04&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=31080d686c120264&srepoch=1719971669&all_sr_blocks=331999101_247511102_2_0_0&highlighted_blocks=331999101_247511102_2_0_0&matching_block_id=331999101_247511102_2_0_0&sr_pri_blocks=331999101_247511102_2_0_0__13100&from=searchresults,https://cf2.bstatic.com/xdata/images/hotel/square240/371609201.webp?k=b9d72688306d84bc5cf5bf585db19578cf0843276518423c2ff32bc51b9ab6f7&o=,N/A,N/A
Four Points by Sheraton Plano,$99,2024-07-03,2024-07-04,8.9Scored 8.9 Excellent 783 reviews,N/A,Plano,,N/A,N/A,8.8 miles from downtown,N/A,,https://www.booking.com/hotel/us/inn-suites-plano-legacy.html?aid=304142&label=gen173nr-1FCAQoggJCDHNlYXJjaF9wbGFub0gzWARosAKIAQGYATG4ARnIAQzYAQHoAQH4AQOIAgGoAgO4AtHekrQGwAIB0gIkMGJmNzJjMGEtNjFlMi00MjI0LTkwYjQtZmZkYzZjODU2NmE22AIF4AIB&ucfs=1&arphpl=1&checkin=2024-07-03&checkout=2024-07-04&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=31080d686c120264&srepoch=1719971669&all_sr_blocks=192083006_366146487_0_2_0&highlighted_blocks=192083006_366146487_0_2_0&matching_block_id=192083006_366146487_0_2_0&sr_pri_blocks=192083006_366146487_0_2_0__9900&from_sustainable_property_sr=1&from=searchresults,https://cf2.bstatic.com/xdata/images/hotel/square240/516655287.webp?k=ff284d3d8314d01f06b5d3ff52e0f1827fb4cdfdccce6b6a532be646eb23fd6a&o=,N/A,N/A
"Holiday Inn Express & Suites Plano East - Richardson, an IHG Hotel",$99,2024-07-03,2024-07-04,8.6Scored 8.6 Excellent 525 reviews,N/A,Plano,,N/A,N/A,0.8 miles from downtown,N/A,,https://www.booking.com/hotel/us/holiday-inn-express-suites-plano-east-plano.html?aid=304142&label=gen173nr-1FCAQoggJCDHNlYXJjaF9wbGFub0gzWARosAKIAQGYATG4ARnIAQzYAQHoAQH4AQOIAgGoAgO4AtHekrQGwAIB0gIkMGJmNzJjMGEtNjFlMi00MjI0LTkwYjQtZmZkYzZjODU2NmE22AIF4AIB&ucfs=1&arphpl=1&checkin=2024-07-03&checkout=2024-07-04&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=31080d686c120264&srepoch=1719971669&all_sr_blocks=401513501_246052649_2_1_0&highlighted_blocks=401513501_246052649_2_1_0&matching_block_id=401513501_246052649_2_1_0&sr_pri_blocks=401513501_246052649_2_1_0__9900&from=searchresults,https://cf2.bstatic.com/xdata/images/hotel/square240/247046809.webp?k=421649c4c68e991c48e1aa05ce92c709fab89e349293685972c7ba72fade6746&o=,N/A,N/A
La Quinta by Wyndham Dallas Plano West,$90,2024-07-03,2024-07-04,"8.6Scored 8.6 Excellent 1,014 reviews",N/A,Plano,,N/A,N/A,5.8 miles from downtown,N/A,,https://www.booking.com/hotel/us/inn-amp-suites-dallas-plano-west.html?aid=304142&label=gen173nr-1FCAQoggJCDHNlYXJjaF9wbGFub0gzWARosAKIAQGYATG4ARnIAQzYAQHoAQH4AQOIAgGoAgO4AtHekrQGwAIB0gIkMGJmNzJjMGEtNjFlMi00MjI0LTkwYjQtZmZkYzZjODU2NmE22AIF4AIB&ucfs=1&arphpl=1&checkin=2024-07-03&checkout=2024-07-04&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=31080d686c120264&srepoch=1719971669&all_sr_blocks=46285603_0_2_1_0&highlighted_blocks=46285603_0_2_1_0&matching_block_id=46285603_0_2_1_0&sr_pri_blocks=46285603_0_2_1_0__9000&from=searchresults,https://cf2.bstatic.com/xdata/images/hotel/square240/194578142.webp?k=c347c23ff81d43fd5277358d30ce97a1b23377018ddad3357f153a41481d62ce&o=,N/A,N/A
Courtyard by Marriott Dallas Plano in Legacy Park,$99,2024-07-03,2024-07-04,8.0Scored 8.0 Very Good 154 reviews,N/A,"Legacy West, Plano",,N/A,N/A,8.5 miles from downtown,N/A,,https://www.booking.com/hotel/us/courtyard-dallas-plano-in-legacy-park.html?aid=304142&label=gen173nr-1FCAQoggJCDHNlYXJjaF9wbGFub0gzWARosAKIAQGYATG4ARnIAQzYAQHoAQH4AQOIAgGoAgO4AtHekrQGwAIB0gIkMGJmNzJjMGEtNjFlMi00MjI0LTkwYjQtZmZkYzZjODU2NmE22AIF4AIB&ucfs=1&arphpl=1&checkin=2024-07-03&checkout=2024-07-04&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=31080d686c120264&srepoch=1719971669&all_sr_blocks=26492602_278525299_0_2_0&highlighted_blocks=26492602_278525299_0_2_0&matching_block_id=26492602_278525299_0_2_0&sr_pri_blocks=26492602_278525299_0_2_0__9900&from_sustainable_property_sr=1&from=searchresults,https://cf2.bstatic.com/xdata/images/hotel/square240/446984735.webp?k=4786ef8ebd2b97e741f438dde97f963f9004bc368070c4118ce0ab4274105013&o=,N/A,N/A
Hyatt Place Dallas/Plano,$98,2024-07-03,2024-07-04,8.3Scored 8.3 Very Good 394 reviews,N/A,Plano,,N/A,N/A,8.1 miles from downtown,N/A,,https://www.booking.com/hotel/us/hyatt-place-dallas-47-plano.html?aid=304142&label=gen173nr-1FCAQoggJCDHNlYXJjaF9wbGFub0gzWARosAKIAQGYATG4ARnIAQzYAQHoAQH4AQOIAgGoAgO4AtHekrQGwAIB0gIkMGJmNzJjMGEtNjFlMi00MjI0LTkwYjQtZmZkYzZjODU2NmE22AIF4AIB&ucfs=1&arphpl=1&checkin=2024-07-03&checkout=2024-07-04&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=31080d686c120264&srepoch=1719971669&all_sr_blocks=91188103_327151724_5_1_0&highlighted_blocks=91188103_327151724_5_1_0&matching_block_id=91188103_327151724_5_1_0&sr_pri_blocks=91188103_327151724_5_1_0__9810&from=searchresults,https://cf2.bstatic.com/xdata/images/hotel/square240/535386077.webp?k=557147a52e128f6e436256fedeff217e2d157a4bbbf8c28d4bf7aa49b846331f&o=,N/A,N/A
