Name,Price,CheckIn,CheckOut,Rating,NumReviews,Address,Amenities,RoomType,Cancellation,Distance,PropertyType,StarRating,BookingURL,Photos,GuestScoreBreak,Description
Days Inn & Suites by Wyndham San Antonio near Frost Bank Center,$68,2024-07-03,2024-07-04,"8.2Scored 8.2 Very Good 1,832 reviews",N/A,"East San Antonio, San Antonio",,N/A,N/A,4.6 miles from center,N/A,,https://www.booking.com/hotel/us/days-inn-san-antonio-near-at-t-center.html?aid=304142&label=gen173nr-1FCAQoggJCEnNlYXJjaF9zYW4gYW50b25pb0gzWARosAKIAQGYATG4ARnIAQzYAQHoAQH4AQOIAgGoAgO4ApPakrQGwAIB0gIkMmZiYzljZTItNWFhNi00YzEzLWI1NDMtNTVlMzFmYzM4NzU52AIF4AIB&ucfs=1&arphpl=1&checkin=2024-07-03&checkout=2024-07-04&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=2fd20c4985a8000f&srepoch=1719971096&all_sr_blocks=275157808_246043957_2_1_0&highlighted_blocks=275157808_246043957_2_1_0&matching_block_id=275157808_246043957_2_1_0&sr_pri_blocks=275157808_246043957_2_1_0__6840&from_sustainable_property_sr=1&from=searchresults,https://cf.bstatic.com/xdata/images/hotel/square240/438602072.webp?k=f46d2e9dde0cadc33750863eb6a62984f0f8397aaea9cc061cb6771ad14e06a8&o=,N/A,N/A
Residence Inn by Marriott San Antonio Airport/Alamo Heights,$129,2024-07-03,2024-07-04,8.5Scored 8.5 Very Good 67 reviews,N/A,"North San Antonio - SAT, San Antonio",,N/A,N/A,6.7 miles from center,N/A,,https://www.booking.com/hotel/us/residence-inn-san-antonio-airport.html?aid=304142&label=gen173nr-1FCAQoggJCEnNlYXJjaF9zYW4gYW50b25pb0gzWARosAKIAQGYATG4ARnIAQzYAQHoAQH4AQOIAgGoAgO4ApPakrQGwAIB0gIkMmZiYzljZTItNWFhNi00YzEzLWI1NDMtNTVlMzFmYzM4NzU52AIF4AIB&ucfs=1&arphpl=1&checkin=2024-07-03&checkout=2024-07-04&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=2fd20c4985a8000f&srepoch=1719971096&all_sr_blocks=26465302_246426510_0_1_0&highlighted_blocks=26465302_246426510_0_1_0&matching_block_id=26465302_246426510_0_1_0&sr_pri_blocks=26465302_246426510_0_1_0__12900&nad_id=d7bfb9b8-02e4-4faa-b9bb-679e7393968b_1&nad_cpc=0.5&nad_track=eyJyYW5rIjoxLCJrb2RkaVRyYWNraW5nSW5mbyI6IjIzQUVsUDRIVUZObUx1cTNOc0xZaVhDRDRPM2prN1NTYlNkYzRDa2UwdVZnT1QzMDVES1p1SUdzV2VjZWttM2NScEFmMDVnWEt4TjRxdUpMZFpHZjg0d29JaG9WVWhYMGI0by91TzlEZVZtdUtyUStZMEV3YjliQ3VrZ3VjNXErMm5qWFNLSTJaK0drL2p6aVJHM3Btc0ZockNScGZrTHBCbWZWdmd5TXhvQ2RRclE4Y0E5TmFma3ZGeUp3RFo0RFFYaytPWkFkODFhNWdCV0FTdlZNNG5EMGNIbzMyMXFQdytwa0lRQUhVam1kamhBSVpQUll0MTlERTFtdmVSVWlHSjFXakdla2tzKzhDaGo0cTczcUFHWFpUbGQ5bkUyQ2w5Qk05QkRqV1B1bXEwT2d3a0xZSjRxdWZTak5PbGREWXVKbWZmd05LNWlzZ1o0K25QTDNGaThRUGQrNnU3Ujg4M24yby94YXNld09ZTk00R2FNQmhrbTV6aitKRCtFbnNsOXUvZllXd2x3ZjBiM2NidUZFeUlSbjRQelR2YlVYSEFBRXR3OG5lNEwrYTc4Mm1nU2tBZXY3d3VKVWRSampueit1R3ZIRDJWY2l6dFZsTndIY1VpZ092SUIxOTUxZzZ0c1VNNmlWckZwOEQ5NTA3b2h1TDVRdW04N240bk5YNUhKdlNuR1RQOTRyK2hjc3p3YUtXZHZGTTFZcno1eDdXWDkwZWlNcWFEcnZYeHIydnNZcnpva05aTHppSzRBTXFJb053SjR3TGt3UzBZL2lHaFYzd2FsYjNubkRIUldFSWU5RmVRb25HeU9hcFMvWXlGcnl0NjZrendCU0lyczNMN3FqaG80UHlNYjFNcFpmRHk5MlhUTVNobFRYZmphSUpQczlVL09RaEVKQWMrYUlsRzlMNUxqaDZEWWVhaXpweTdNRTRzbnhBQjJwc1lvR0QvUUh2NExyWDh5QXBoR0lvT3E1aEtmNXZjZDRKQ0xwaUg4SnJxWC82aERTNUpNZ0FpZU9odXBPalhVelV2TUZqRkJSN3I4bTZYd2U3di9JUW1KK2pma013OUdlQTdQL09WRVpXRmJ0YnpjSEdCRnpLdlpSZGFCNGtJYXpmanZRdVlFQ1N2K01xLzM4T2c3UHFGQmtjZkxjUFhnRWFtUWsrbVFBemZoY0VIS2xyZkRyOFNOVTVkNElXbFBPbjdES0VGKzJEOTdDeTJrSG1FT0pKWk5Fa0swbUQ0Mm1kbUExMWpRL1JjNWpMbm9vRUltTWh3WlBKOHJ5VGZwamQ1azNTMExXN3FKZjRWdEVreHYzWnhWbFZBdlJuQytFK2NRUkdJZTNwQWRsRFZHWTlaV1lsRnNxa2lES3YvTmhyaGpBWWhtSlpwc2FhbmFSaGVhS2k2V096QlJhYXhZUGFMZDY4cXJ5NklxL2dMNDVSZUZLVlMrMitjWUEwOTlvc0FHakNQRjdlNHROcnNlOG5tNmY4d0wwcWtteGJld2dKQ214ZndiZEQxczgzRXkzV3FXTjdnQk1JS2paY29rT1NGckxOdzVhdWhFeGlmRHhidUtKT2xaRmlGM0NBSUQ5TFk1NHg4ekY1b2svalphaVNRdGVCRFlHQUdYcjRIaWJvWFM1K1VTUDhjd1BHK1VBQzc3enBmNnIzSDdMSmZ1eVJqQmlyL0VhdEM0bk5yVHV5MzBvb3RRUTdyTXYxclVMNCtYUS9nV0ZrMUQ4QnV1a0JmODRVNElBMzVRcHplc0dybkk5aHRqcHpzMFhxamtYOE5teXYxRDJRT2tZcEZiTHN0Mkk2T1laMy9xWjJqVm9PNCtLWVFtZWtxbXBxaG5sOEcrdGltUlRPM0ZWY1Q5M2VXby92T0hWZWQ1WU1ZdzJYOFRNNUx0ZThiRThYWXA4aXJjdnBjbk5SVFpxaVJUNDdlODNJdCtIMGhnaWZ2dVIyQWI5MFIwbTRlSUk0eTJScitIUDZUZTdRUnN4ZCt5VW53Q2Z3b3lxR2dVUTVCOG9LTHY1SVN4M2Izc2tBdUlvV2wwWUIwWW9zelY3bVgxdFBtVDM5ek8xS2Y2UTZXU3duVnBRakNVV3FhTzFPMGZrMmQzTHU3RUNNVDdRd2JBSHFha1RsaUc4WkxETEtTRVB4MytMckM2VXVYQWNDS1RLUUxQZ20xRmF3MHJLTXAwbHBPS0lyV3hlVkl0RkcwR1Y4UEkrTHoyWVA1Y3RrMXg0TUdvUVNOZFV5cEd5VWwwd2JaQnhWSzZZbjFvSlJiMVI1U1ZTaVZqNnRkc1c1ZWxtbUlVS2IyZ21uV2tOSFhRQS95NWx2NzlzYkg4NTNmQkhmZngvWGVDVE5IeGxGWERKUTdFSFBGaytRbGFiRnJTbEsyd0wyT1VMRHVRekxRUU9nc3VRMzVreFk3cUVabDhQV0NiTnN5cit2SS9NZWw2Q2ZvYWhKenQzVDgvQkgra3Y0S3RsOThzTnpPdUMzb0RSWDF6R1FybzFtbWovVDFjS2hKZlVYZkx3aTROL2FDTmxrNElKNFQ3QTZtRHAzME90Y05RS3lnWjIyNWNvbkE2OGM0OS9neHRSNk1oaldhRTFBWVFNZDA1Y1Mya1JhTzNaR1hXZVprSGRINS83ZHdRU3FHVWo3RWlUSWxzZkI4STZVSHp0QW9FcGZhaURTRUxqV3JhZkYxajNINlhhd2pKZVFBOFRDNlhHays2NktVcC8xbFYvQ2NvTHRVYkdSbmw4b0NOSTc0RFFGdjlidHJHcUZzYVYzdUNnZnlSb1NjY1NLY01ZemwvK0ovMUM4Qkc3TEtlZm5BZTI2bjlVdll1c1JoM25tRHJGZXM5R3M5RlVXNG1zOENhN0pPMmVuSk5jY0ltR05VR29RYXJFOHFxMkNwV1VqSlJIdlB4OG5oRjB1bmJmNGhhbmk0M1FlbVVqVzcrT1M2amlvQllPRVBrOWdWZEFueGxLNXZnU1lISXZSNmtBakl0emg5RGhLYzdIWThPU2lLOHJLOW9MeVV3RHB5SVVvWjdQcTFYM0h2WEdKeGhPb1dYd0Q1T2VIMG1DKzBTVGJCQWhYYXB2WFRISFZGbVpOSGRIcXlsMGVNSXg5SWQ2UWZZTXZqd3BMQkQ2SEllWEltcWJlTm5tL2ZFY08ycXJsclgrc2hFYWtzMXcxdWVvVG00ak1TZFF3SGQxenFIN2VSUkdLU3pYL01WdUdKNVlHODJSREo4KzJyOU9CUGlKcVNTVllVRGlRUFdzNTl4SEhrUmxtMzVQRkhnR29DMWY2YUN0NW00NXIzV24rdz09In0%3D&from_sustainable_property_sr=1&from=searchresults,https://cf.bstatic.com/xdata/images/hotel/square240/453309803.webp?k=780c15b46ddf73ee71f5a291c2c3b8eb7885b1ab94eaf0ae968598e499f09906&o=,N/A,N/A
Drury Inn & Suites San Antonio Airport,$92,2024-07-03,2024-07-04,9.0Scored 9.0 Wonderful 624 reviews,N/A,"North San Antonio - SAT, San Antonio",,N/A,N/A,6.8 miles from center,N/A,,https://www.booking.com/hotel/us/drury-inn-amp-suites-san-antonio-airport.html?aid=304142&label=gen173nr-1FCAQoggJCEnNlYXJjaF9zYW4gYW50b25pb0gzWARosAKIAQGYATG4ARnIAQzYAQHoAQH4AQOIAgGoAgO4ApPakrQGwAIB0gIkMmZiYzljZTItNWFhNi00YzEzLWI1NDMtNTVlMzFmYzM4NzU52AIF4AIB&ucfs=1&arphpl=1&checkin=2024-07-03&checkout=2024-07-04&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=2fd20c4985a8000f&srepoch=1719971096&all_sr_blocks=720092405_308914710_2_1_0&highlighted_blocks=720092405_308914710_2_1_0&matching_block_id=720092405_308914710_2_1_0&sr_pri_blocks=720092405_308914710_2_1_0__9199&from_sustainable_property_sr=1&from=searchresults,https://cf.bstatic.com/xdata/images/hotel/square240/378470237.webp?k=1978a777c8708326cd57f8ffe4bf74a8ed351eb01bf38e778482306541cb0878&o=,N/A,N/A
DoubleTree by Hilton San Antonio Downtown,$89,2024-07-03,2024-07-04,"7.8Scored 7.8 Good 1,376 reviews",N/A,"Downtown - Riverwalk, San Antonio",,N/A,N/A,in city center,N/A,,https://www.booking.com/hotel/us/san-antonio-downtown-market-square.html?aid=304142&label=gen173nr-1FCAQoggJCEnNlYXJjaF9zYW4gYW50b25pb0gzWARosAKIAQGYATG4ARnIAQzYAQHoAQH4AQOIAgGoAgO4ApPakrQGwAIB0gIkMmZiYzljZTItNWFhNi00YzEzLWI1NDMtNTVlMzFmYzM4NzU52AIF4AIB&ucfs=1&arphpl=1&checkin=2024-07-03&checkout=2024-07-04&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=2fd20c4985a8000f&srepoch=1719971096&all_sr_blocks=17281303_266269803_2_34_0&highlighted_blocks=17281303_266269803_2_34_0&matching_block_id=17281303_266269803_2_34_0&sr_pri_blocks=17281303_266269803_2_34_0__8900&from_sustainable_property_sr=1&from=searchresults,https://cf.bstatic.com/xdata/images/hotel/square240/474348515.webp?k=6ea46658230f0b14302c4d736cb0fb65f2d5b7336021394dbb6bd32b787ba894&o=,N/A,N/A
Marriott San Antonio Airport,$149,2024-07-03,2024-07-04,8.1Scored 8.1 Very Good 83 reviews,N/A,"North San Antonio - SAT, San Antonio",,N/A,N/A,6.7 miles from center,N/A,,https://www.booking.com/hotel/us/holiday-inn-san-antonio-international-airport.html?aid=304142&label=gen173nr-1FCAQoggJCEnNlYXJjaF9zYW4gYW50b25pb0gzWARosAKIAQGYATG4ARnIAQzYAQHoAQH4AQOIAgGoAgO4ApPakrQGwAIB0gIkMmZiYzljZTItNWFhNi00YzEzLWI1NDMtNTVlMzFmYzM4NzU52AIF4AIB&ucfs=1&arphpl=1&checkin=2024-07-03&checkout=2024-07-04&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=2fd20c4985a8000f&srepoch=1719971096&all_sr_blocks=18362621_375696459_0_2_0&highlighted_blocks=18362621_375696459_0_2_0&matching_block_id=18362621_375696459_0_2_0&sr_pri_blocks=18362621_375696459_0_2_0__14900&nad_id=d7bfb9b8-02e4-4faa-b9bb-679e7393968b_0&nad_cpc=0.5&nad_track=eyJyYW5rIjoyLCJrb2RkaVRyYWNraW5nSW5mbyI6IjIzQUVsUDRIVUZObUx1cTNOc0xZaVhDRDRPM2prN1NTYlNkYzRDa2UwdVZnT1QzMDVES1p1SUdzV2VjZWttM2NScEFmMDVnWEt4TjRxdUpMZFpHZjg0d29JaG9WVWhYMGI0by91TzlEZVZtdUtyUStZMEV3YjliQ3VrZ3VjNXErMm5qWFNLSTJaK0drL2p6aVJHM3Btc0ZockNScGZrTHBCbWZWdmd5TXhvQ2RRclE4Y0E5TmFma3ZGeUp3RFo0RFFYaytPWkFkODFhNWdCV0FTdlZNNG5EMGNIbzMyMXFMd085a0lnQUhVam1kamhBSVpQUll0MTlERTFtdmVSVWlHSjFXakdla2tzKzhEaHYzcHJycUFHWFpUbGQ5bkUyQ2w5Qk05QkRuVy82bXFFT2d4a0hYS28ydWZTak5PbGREWXVKbWZmd05LNWlzZ1o0K25QTDNGaThRUGQrNnU3Ujg4M24yby94YXNld09ZTk00R2FNQmhrbTV6aitKRCtFbnNsOXUvZllXd2x3ZnpMT1JkL0pUeUo5cTRkci92SzBFQ3dFZXNRNGJTSmZ2TEtjOWh3cmxDL2IybWZwTWRSYnR6amk3RCtDRXdVOGl3TnNrT3h2SFNDNEY1NWh0OTVOdXVONERQYTJQdDFkckx1NTQ4NThwTjU4emxZN3c5SHRaOVU5Q0RHbUVJOE1sdVJJZ3lCMmJVTVBlS0VNbTA1NWdVM2t6WWlrMGN5UDhFbHppdHNjMG1NQWRjcXl2ZklJTm9wRUszWkVzSkFCRHdabnhWRjV4MzZoRjNIalFWMXVXTmVwSGJGOWpYQ09acVNLUm14Ymd2S09rendCVEtxUTJOS2F4eDhwSXlNWC9KSWtTUUhsa1ZqNFNoVlRXZFNtSlArY3ZFcmZiaTA1YmV1ell5ekZGL091aG96QWNkeURqbmVCUjhjVHNFMG53LzUwR0VlVlE5OFdzQzhPUXV4N1I4YXo2eTZML3ZvUXJhSGVrM1NZY3R1VDI3QkhlbzU0b1FXYk55YmdRd0dJelhQa2VpUjhDcDZ3dzVpQlR0UFBOU1hGL2ovNE13ZENlRk9XZ2JFTVRSVVN3SW0wSUVBMXdMdjFGZHJzdnhNSy9jU2ZjNDl0UEJQV1BvL1c1YjFlSHFBUXhKYVRRTVdRVWJYOHg3U05JaktkY1dpUHU2dTdyK3lNWXZwRU1Hd3FEazc3R0cxT3ZDZFhOa1hNTmx4K1pLSzFFbHJZTUVaeW1YRzhvMFJKK0FKaHFiU0ppQ1l6YTFVSWFLZEt2Q2JRdGJwODlRbG5ROWFKZjgxMUloVjY0TEFjMFBVM1dpeHVUNCtoQU9iL010MmR3RFN6WWlzcUdvUWNWb1JQWHR0SmZnUmY3Ylg2UmVJMWhRVFdPajZLVTVaWGZnMWxaZlJRTWZiMXkrdStuc3NLL3kvaDBDL2xMVFRDODRzMFdrb29yK1FIcldMTXlLOUFSNmNmMHdDM1E4aytoOWhheEk2OXRaVGFxY0FMUkUxdy9tUVA4V09UVytGUk1KS2pOSTR4WVVoSE1aMTVGbzBBeGl1WGtPZVhlSWxkRDJsVExVWVNtYVpOcXhJcWZvWm92a29DMVR3dEpRMzVlVlhYbDUzbVp1V0RrckFYUCtkc0ZDKzhISEwvMXBPdXgwU2lVYnVqbkN6eDN0K2xmdnk4dmM3N3Z3WEZuNzlKZHB2VXQzTDhiNC9USDR3alQwQXVxSGVHbUMvazdVNE1WeWN4cXZxb2Z2bkl4Z043RTA5SVd2QzRRdG9leHNCNi9RNlJXdmtDNDg4U1c2T29mMTllRXhUUitMSWpNUHdxUjNPQ3E1MWZtNENIamsySlpNbXBQZlhnL0lUWXhwTEtJTko5Vk9vNG5WY3ZiODdwZThiRjZCdHdybUw4NXVzbklYQ3RwNmduNTVJOHpLZENDeUJzaGUrMmYyd0QzMW5FMS9QSTl0MlRCc3Y3Ty9qZTNWQXNtWWVtVmt4Nk9sTi9sVHhjYTl3SW9LYWZrSUVscWIzQkFBdWdpV2pjQUcxUVc5Rzh3bm4xdkxuZjNvWERuYnZDSXFpcncwRXhabURvRXZyS29PMXY1MWN6TW9MNVVZamZmai9rRTVPY05uR243WmJIT0lTaERuRERNb2piQy9pOUtDcVRMUjZ6cWh3QUo5M25FS3JNTDdiS1V1aXNXSDgxTEF4YkV1YUlvS1NxWU9ZdzhtQnNzY1VaaE50Y3R1Nkh4REJnaGVJdDRWdmpMaWg5S0c3TWY4RElGM3g2bHRZSk1yS2h1cjRrSEpnMXR3WHNGQzJzQStqZDR2S3B0Zmk5emxMRlBTdkJ5YWR1YkkzeHVFbGJoU2JJemFRWjVmaEhGV29heksyTVhpYTFJRks1NmJBdzVpTjJQb3N4bUphaU1jRUFQWFQvUXR6Ly9ydGlHUHhDRlpJcWpZWE1pRGMrZlNyTms1NnRNOGR0S3FhYTFtY21ZYjFiRkMrSjRqaStsQkZBS3JZck9TTWlteU5GZUwyb3NvNGdLcUdhTi9UQ3FpRlQ5SllNMHloQjIrZHAzbkZqaUxJODMzVmdlNllVMkJmNDFTTnhVTUI4UEhYdEVKZUhNQVczYmJVRFZXcFg2ZlFoZDVYeHpvUnlDUEdVZUM4QUJTR0toWE41eWZlZkFBUkxKUmJ5T0tVRHhFNnFNa1g5RkVSZE1VdlNYZ3Ezc0tVZG13MDl5SHNrT3ZBV2VHREI4K1dRV3Y0YkxCL1JYdlBEcFRvNlZpYlRvTkNoOVFjOGRNTXRibWdhMko2b1h1RnEzT3JlRW5BQ24vMmRKdk03dkgxWG53V3VkUGN0SXRkMVdSOW4vK3lEMWNxL0pnSTBaTVp5ck9rNmljYjZLcC9YcUhZT0cwdE1DL2VsUmtSNStpbUxzK1FDbHNkdVRLR050Q1BpRFU1N2t1eEFqRnVJc2ltMURsUTVLNmZnWUhUeGtSdk5jeTV4aWt0dndKZlRBWklUMzBQb2xNNGxUZ1RFVnR6WXVpbzdiN0RDdlZ2V1RZRkVldkhyeEdMNlVDMC8vb2dUY2JFVm5GUHB5UWpEUWVWT05QQW9lNjJoMExZQjBzWUZtU2YwNnN5MG1VVW02VTRmQ1lDL2Vmc1h1OXNjUkttdld6L1cvc2twWnpZcGwxcmIzVkdodFoyVUh6bkk5aUtiZ1FobEhlVW1jcXRGZ0RKcFRDdGVCVHR4Tmk3OWRPditZdkR6RFBnWHBFcXlqODhOSFJsRnZuQ2xCbCtOLzZWNFl4Tk04YVdGcmtJMUc4Nit6RkFVPSJ9&from_sustainable_property_sr=1&from=searchresults,https://cf.bstatic.com/xdata/images/hotel/square240/463206897.webp?k=29a09f42ec59422fe850732fe19dfbd1d68934027af81edc26bf59d8e3091aab&o=,N/A,N/A
Best Western Medical Center North Inn & Suites Near Six Flags,$72,2024-07-03,2024-07-04,"7.9Scored 7.9 Good 1,453 reviews",N/A,"Northwest San Antonio, San Antonio",,N/A,N/A,10.4 miles from center,N/A,,https://www.booking.com/hotel/us/holiday-inn-express-suites-san-antonio-i-10-northwest.html?aid=304142&label=gen173nr-1FCAQoggJCEnNlYXJjaF9zYW4gYW50b25pb0gzWARosAKIAQGYATG4ARnIAQzYAQHoAQH4AQOIAgGoAgO4ApPakrQGwAIB0gIkMmZiYzljZTItNWFhNi00YzEzLWI1NDMtNTVlMzFmYzM4NzU52AIF4AIB&ucfs=1&arphpl=1&checkin=2024-07-03&checkout=2024-07-04&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=2fd20c4985a8000f&srepoch=1719971096&all_sr_blocks=18371816_346754553_2_1_0&highlighted_blocks=18371816_346754553_2_1_0&matching_block_id=18371816_346754553_2_1_0&sr_pri_blocks=18371816_346754553_2_1_0__7200&from_sustainable_property_sr=1&from=searchresults,https://cf.bstatic.com/xdata/images/hotel/square240/291850366.webp?k=e34522727d860ffd541222d706a396fa2c95390f974fe518b8c4dce442fc645e&o=,N/A,N/A
Pear Tree Inn San Antonio Airport,$87,2024-07-03,2024-07-04,8.9Scored 8.9 Excellent 928 reviews,N/A,"North San Antonio - SAT, San Antonio",,N/A,N/A,6.7 miles from center,N/A,,https://www.booking.com/hotel/us/pear-tree-inn-san-antonio-airport.html?aid=304142&label=gen173nr-1FCAQoggJCEnNlYXJjaF9zYW4gYW50b25pb0gzWARosAKIAQGYATG4ARnIAQzYAQHoAQH4AQOIAgGoAgO4ApPakrQGwAIB0gIkMmZiYzljZTItNWFhNi00YzEzLWI1NDMtNTVlMzFmYzM4NzU52AIF4AIB&ucfs=1&arphpl=1&checkin=2024-07-03&checkout=2024-07-04&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=2fd20c4985a8000f&srepoch=1719971096&all_sr_blocks=51921101_246093747_2_1_0&highlighted_blocks=51921101_246093747_2_1_0&matching_block_id=51921101_246093747_2_1_0&sr_pri_blocks=51921101_246093747_2_1_0__8699&from_sustainable_property_sr=1&from=searchresults,https://cf.bstatic.com/xdata/images/hotel/square240/269816995.webp?k=5a54907d1f09f4ed8be21b37aff9f3571a64414f7e083c8ae98e00f7d1439b78&o=,N/A,N/A
Red Roof Inn San Antonio Airport,$55,2024-07-03,2024-07-04,7.4Scored 7.4 Good 763 reviews,N/A,"North San Antonio - SAT, San Antonio",,N/A,N/A,7.3 miles from center,N/A,,https://www.booking.com/hotel/us/red-roof-inn-airport.html?aid=304142&label=gen173nr-1FCAQoggJCEnNlYXJjaF9zYW4gYW50b25pb0gzWARosAKIAQGYATG4ARnIAQzYAQHoAQH4AQOIAgGoAgO4ApPakrQGwAIB0gIkMmZiYzljZTItNWFhNi00YzEzLWI1NDMtNTVlMzFmYzM4NzU52AIF4AIB&ucfs=1&arphpl=1&checkin=2024-07-03&checkout=2024-07-04&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=2fd20c4985a8000f&srepoch=1719971096&all_sr_blocks=9864306_158362392_2_0_0&highlighted_blocks=9864306_158362392_2_0_0&matching_block_id=9864306_158362392_2_0_0&sr_pri_blocks=9864306_158362392_2_0_0__5499&from=searchresults,https://cf.bstatic.com/xdata/images/hotel/square240/271067258.webp?k=67cf9dea7c96a428eddd38054c88f59214e49c1718110acb4fe2a93fb0dea865&o=,N/A,N/A
Drury Plaza Hotel San Antonio Airport,$104,2024-07-03,2024-07-04,"9.2Scored 9.2 Wonderful 1,057 reviews",N/A,"North San Antonio - SAT, San Antonio",,N/A,N/A,6.7 miles from center,N/A,,https://www.booking.com/hotel/us/drury-inn-suites-san-antonio-airport.html?aid=304142&label=gen173nr-1FCAQoggJCEnNlYXJjaF9zYW4gYW50b25pb0gzWARosAKIAQGYATG4ARnIAQzYAQHoAQH4AQOIAgGoAgO4ApPakrQGwAIB0gIkMmZiYzljZTItNWFhNi00YzEzLWI1NDMtNTVlMzFmYzM4NzU52AIF4AIB&ucfs=1&arphpl=1&checkin=2024-07-03&checkout=2024-07-04&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=2fd20c4985a8000f&srepoch=1719971096&all_sr_blocks=52219711_246094334_0_1_0&highlighted_blocks=52219711_246094334_0_1_0&matching_block_id=52219711_246094334_0_1_0&sr_pri_blocks=52219711_246094334_0_1_0__10399&from_sustainable_property_sr=1&from=searchresults,https://cf.bstatic.com/xdata/images/hotel/square240/269820495.webp?k=0a37a8324bb2e81803128a676209abe6f9aaa1c6b2bd41e6f13c61890d41e929&o=,N/A,N/A
Fairfield Inn & Suites by Marriott San Antonio Brooks City Base,$104,2024-07-03,2024-07-04,9.0Scored 9.0 Wonderful 219 reviews,N/A,"East San Antonio, San Antonio",,N/A,N/A,6.4 miles from center,N/A,,https://www.booking.com/hotel/us/fairfield-inn-suites-by-marriott-san-antonio-southeast.html?aid=304142&label=gen173nr-1FCAQoggJCEnNlYXJjaF9zYW4gYW50b25pb0gzWARosAKIAQGYATG4ARnIAQzYAQHoAQH4AQOIAgGoAgO4ApPakrQGwAIB0gIkMmZiYzljZTItNWFhNi00YzEzLWI1NDMtNTVlMzFmYzM4NzU52AIF4AIB&ucfs=1&arphpl=1&checkin=2024-07-03&checkout=2024-07-04&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=2fd20c4985a8000f&srepoch=1719971096&all_sr_blocks=170382502_246433707_0_1_0&highlighted_blocks=170382502_246433707_0_1_0&matching_block_id=170382502_246433707_0_1_0&sr_pri_blocks=170382502_246433707_0_1_0__10400&from_sustainable_property_sr=1&from=searchresults,https://cf.bstatic.com/xdata/images/hotel/square240/459626075.webp?k=54e487c67e4d206ba5a6e56771764db33b0ed1477fbddc54380c34b659bc22c6&o=,N/A,N/A
